# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
codebook, mse_errors, norm_errors, angular_errors, topk_angular_error
# Mean AQ quantization error: 0.471960
1, 0.33556848764419556, 0.07139759510755539, 0.3344062566757202, 0.2711235937393624
# Mean AQ quantization error: 0.263536
2, 0.25078052282333374, 0.04594263434410095, 0.24892199039459229, 0.16425829225779887
# Mean AQ quantization error: 0.163735
3, 0.19811834394931793, 0.03395988792181015, 0.1960209161043167, 0.11941463663504248
# Mean AQ quantization error: 0.113328
4, 0.16463440656661987, 0.026362009346485138, 0.16279484331607819, 0.09189210206810604
# Mean AQ quantization error: 0.083844
5, 0.1415589451789856, 0.021667039021849632, 0.1399349719285965, 0.07754011364430496
# Mean AQ quantization error: 0.064189
6, 0.12397696822881699, 0.01836143620312214, 0.12251674383878708, 0.06610432957133582
# Mean AQ quantization error: 0.051463
7, 0.11100856214761734, 0.015969788655638695, 0.10970928519964218, 0.05684982508785628
# Mean AQ quantization error: 0.042089
8, 0.10038004070520401, 0.013988088816404343, 0.09922756254673004, 0.04987843661466625
# Mean AQ quantization error: 0.035347
9, 0.09220383316278458, 0.012550394982099533, 0.09114896506071091, 0.045932050238863494
# Mean AQ quantization error: 0.030458
10, 0.08556240797042847, 0.011399314738810062, 0.08460386097431183, 0.041657910492506806
# Mean AQ quantization error: 0.026675
11, 0.0801621600985527, 0.010476642288267612, 0.07927794009447098, 0.03788453561261989
# Mean AQ quantization error: 0.023860
12, 0.07598621398210526, 0.009650751017034054, 0.07516920566558838, 0.03493416785685195
# Mean AQ quantization error: 0.021335
13, 0.07191389799118042, 0.008973980322480202, 0.07115086913108826, 0.032244682376432125
# Mean AQ quantization error: 0.019342
14, 0.06862469017505646, 0.0083810705691576, 0.06790272891521454, 0.029692638199082626
# Mean AQ quantization error: 0.017395
15, 0.0651678517460823, 0.007807774003595114, 0.06448987871408463, 0.027562165212441574
# Mean AQ quantization error: 0.015953
16, 0.062400154769420624, 0.007370402570813894, 0.06175747141242027, 0.026551642388312452
