# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
codebook, mse_errors, norm_errors, angular_errors, topk_angular_error
1, 0.32327800989151, 0.06767306476831436, 0.3216964602470398, 0.2539831521912188
2, 0.28157827258110046, 0.05316724628210068, 0.2799876630306244, 0.1891219923312223
3, 0.2524082362651825, 0.04481430724263191, 0.250496506690979, 0.15837568992305895
4, 0.23414942622184753, 0.0404818020761013, 0.23208652436733246, 0.13419945398773572
5, 0.2148772031068802, 0.03578144311904907, 0.21272382140159607, 0.11746898004529445
6, 0.19971716403961182, 0.03256363421678543, 0.19754400849342346, 0.10403809537431433
7, 0.18379411101341248, 0.029810830950737, 0.18154478073120117, 0.09353684769058188
8, 0.17207208275794983, 0.027845483273267746, 0.1697647124528885, 0.08114779230316252
9, 0.1627306193113327, 0.02607736550271511, 0.16046857833862305, 0.07824785377354586
10, 0.15493398904800415, 0.024417266249656677, 0.15274620056152344, 0.07225815668021895
11, 0.1467471718788147, 0.023045822978019714, 0.14459383487701416, 0.06543811789337804
12, 0.13836583495140076, 0.02193230763077736, 0.13619312644004822, 0.06226791445063803
13, 0.13457174599170685, 0.021029815077781677, 0.13249456882476807, 0.058867359780090035
14, 0.1246810108423233, 0.019508542492985725, 0.12268386036157608, 0.0562018567223759
15, 0.12051012367010117, 0.018935713917016983, 0.11852093786001205, 0.05142539395405629
16, 0.1184309870004654, 0.01889682374894619, 0.11636748164892197, 0.052377859828454144
