# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
codebook, mse_errors, norm_errors, angular_errors, topk_angular_error
1, 0.32290276885032654, 0.06769197434186935, 0.321384072303772, 0.25752357632696615
2, 0.322258859872818, 0.06335768103599548, 0.3220192492008209, 0.23868131008205534
3, 0.32159551978111267, 0.061891283839941025, 0.321593314409256, 0.22528864362952222
4, 0.3197983503341675, 0.060173600912094116, 0.32011500000953674, 0.21529197023796715
5, 0.3184851408004761, 0.05920907109975815, 0.3188905119895935, 0.21330824152287015
6, 0.31672364473342896, 0.05804146081209183, 0.3172551989555359, 0.20559838308230516
7, 0.31491217017173767, 0.056910190731287, 0.3154929578304291, 0.20610340973481608
8, 0.31302961707115173, 0.055900268256664276, 0.313713014125824, 0.2007239686756617
9, 0.31174027919769287, 0.055232979357242584, 0.3124430179595947, 0.1952420051134198
10, 0.3095473051071167, 0.054216768592596054, 0.3102622926235199, 0.1913769256065725
11, 0.3083266317844391, 0.05376102775335312, 0.3090018332004547, 0.18901674418338546
12, 0.3058849275112152, 0.0525912307202816, 0.3066352605819702, 0.18547979142049098
13, 0.30468207597732544, 0.051925741136074066, 0.3054962158203125, 0.1860203432676516
14, 0.30201712250709534, 0.05083784833550453, 0.30284613370895386, 0.1794955240252239
15, 0.3007500469684601, 0.050190459936857224, 0.30159348249435425, 0.17888352689985265
16, 0.297953724861145, 0.049279503524303436, 0.29874053597450256, 0.17347475220283734
