# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
codebook, mse_errors, norm_errors, angular_errors, topk_angular_error
1, 0.3229359984397888, 0.06772556900978088, 0.3212772011756897, 0.2566357186817997
2, 0.24932639300823212, 0.04168841242790222, 0.24709174036979675, 0.15622763397338335
3, 0.20817986130714417, 0.03249671682715416, 0.20593401789665222, 0.11121897954806235
4, 0.17928500473499298, 0.0267363078892231, 0.17716731131076813, 0.09206403276538154
5, 0.15725931525230408, 0.022668976336717606, 0.1553564965724945, 0.07663071980250423
6, 0.1398009955883026, 0.019928673282265663, 0.13805805146694183, 0.06474876822506913
7, 0.12504947185516357, 0.017170092090964317, 0.12354091554880142, 0.05646264539233507
8, 0.11326838284730911, 0.015136418864130974, 0.11195367574691772, 0.04819290769944089
9, 0.10260827094316483, 0.013267544098198414, 0.10146475583314896, 0.04221154120248592
10, 0.0941348597407341, 0.011780872941017151, 0.09313234686851501, 0.03855992044080895
11, 0.08638661354780197, 0.010555251501500607, 0.08549175411462784, 0.03453052351566358
12, 0.0796828642487526, 0.009412072598934174, 0.07890120148658752, 0.030428680039438594
13, 0.07349403202533722, 0.00855365302413702, 0.072789765894413, 0.028161390984625
14, 0.06793097406625748, 0.007680046837776899, 0.06730853766202927, 0.02591317180036387
15, 0.06298419833183289, 0.007067215628921986, 0.062410131096839905, 0.023604958785491487
16, 0.059147197753190994, 0.006474392022937536, 0.05863307788968086, 0.021138913113631707
