# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/1_imagenet_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f6d92de49e8>, <aq.AQ object at 0x7f6d7c712cf8>]
#    Training the XPQ subspace: 0 / 2, 0 -> 75
#    Training the XPQ subspace: 1 / 2, 75 -> 150
# compress items
# Mean AQ quantization error: 0.007566
# Mean AQ quantization error: 0.002420
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.234, 0.234, 0, 1
2, 0, 0.338, 0.169, 0, 2
4, 0, 0.47, 0.1175, 0, 4
8, 0, 0.581, 0.072625, 0, 8
16, 0, 0.689, 0.0430625, 0, 16
32, 0, 0.781, 0.02440625, 0, 32
64, 0, 0.853, 0.013328125, 0, 64
128, 0, 0.911, 0.0071171875, 0, 128
256, 0, 0.946, 0.0036953125, 0, 256
512, 0, 0.97, 0.00189453125, 0, 512
1024, 0, 0.987, 0.0009638671875, 0, 1024
2048, 0, 0.993, 0.00048486328125, 0, 2048
4096, 0, 0.998, 0.00024365234375, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 3.814697265625e-06, 0, 262144
524288, 0, 1.0, 1.9073486328125e-06, 0, 524288
1048576, 0, 1.0, 9.5367431640625e-07, 0, 1048576
2097152, 0, 1.0, 4.76837158203125e-07, 0, 2097152
4194304, 0, 1.0, 4.272823178185699e-07, 0, 2340373
