# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/1_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>,  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6845831274986267 max norm: 1.0298324823379517 min norm: 0.13112014532089233
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.5997606515884399 max norm: 0.9630307555198669 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 2,  residual average norm : 0.5486661791801453 max norm: 0.9237878918647766 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.08, 0.08, 0, 1
2, 0, 0.138, 0.069, 0, 2
4, 0, 0.208, 0.052, 0, 4
8, 0, 0.275, 0.034375, 0, 8
16, 0, 0.37, 0.023125, 0, 16
32, 0, 0.495, 0.01546875, 0, 32
64, 0, 0.602, 0.00940625, 0, 64
128, 0, 0.716, 0.00559375, 0, 128
256, 0, 0.807, 0.00315234375, 0, 256
512, 0, 0.883, 0.001724609375, 0, 512
1024, 0, 0.929, 0.0009072265625, 0, 1024
2048, 0, 0.966, 0.0004716796875, 0, 2048
4096, 0, 0.982, 0.00023974609375, 0, 4096
8192, 0, 0.989, 0.0001207275390625, 0, 8192
16384, 0, 0.993, 6.060791015625e-05, 0, 16384
32768, 0, 0.998, 3.045654296875e-05, 0, 32768
65536, 0, 0.999, 1.52435302734375e-05, 0, 65536
131072, 0, 0.999, 7.62176513671875e-06, 0, 131072
262144, 0, 0.999, 3.810882568359375e-06, 0, 262144
524288, 0, 1.0, 1.9073486328125e-06, 0, 524288
1048576, 0, 1.0, 9.5367431640625e-07, 0, 1048576
2097152, 0, 1.0, 4.76837158203125e-07, 0, 2097152
4194304, 0, 1.0, 4.272823178185699e-07, 0, 2340373
