# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/1_imagenet_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 38
#    Training the subspace: 1 / 4, 38 -> 76
#    Training the subspace: 2 / 4, 76 -> 113
#    Training the subspace: 3 / 4, 113 -> 150
# layer: 0,  residual average norm : 0.15895137190818787 max norm: 0.8158538341522217 min norm: 0.021136974915862083
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.023, 0.023, 0, 1
2, 0, 0.037, 0.0185, 0, 2
4, 0, 0.051, 0.01275, 0, 4
8, 0, 0.075, 0.009375, 0, 8
16, 0, 0.108, 0.00675, 0, 16
32, 0, 0.152, 0.00475, 0, 32
64, 0, 0.217, 0.003390625, 0, 64
128, 0, 0.291, 0.0022734375, 0, 128
256, 0, 0.403, 0.00157421875, 0, 256
512, 0, 0.529, 0.001033203125, 0, 512
1024, 0, 0.664, 0.0006484375, 0, 1024
2048, 0, 0.765, 0.00037353515625, 0, 2048
4096, 0, 0.85, 0.00020751953125, 0, 4096
8192, 0, 0.913, 0.0001114501953125, 0, 8192
16384, 0, 0.95, 5.79833984375e-05, 0, 16384
32768, 0, 0.968, 2.9541015625e-05, 0, 32768
65536, 0, 0.98, 1.495361328125e-05, 0, 65536
131072, 0, 0.992, 7.568359375e-06, 0, 131072
262144, 0, 0.995, 3.795623779296875e-06, 0, 262144
524288, 0, 0.998, 1.903533935546875e-06, 0, 524288
1048576, 0, 0.999, 9.527206420898437e-07, 0, 1048576
2097152, 0, 1.0, 4.76837158203125e-07, 0, 2097152
4194304, 0, 1.0, 4.272823178185699e-07, 0, 2340373
