# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/1_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>,  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6845022439956665 max norm: 1.0284247398376465 min norm: 0.1118190586566925
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.5999408960342407 max norm: 0.962308943271637 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 2,  residual average norm : 0.5484230518341064 max norm: 0.9137887954711914 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 3,  residual average norm : 0.5099238157272339 max norm: 0.8881378173828125 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 4,  residual average norm : 0.47904086112976074 max norm: 0.8539683818817139 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 5,  residual average norm : 0.4540175795555115 max norm: 0.8223704695701599 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 6,  residual average norm : 0.43100982904434204 max norm: 0.7859500050544739 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.153, 0.153, 0, 1
2, 0, 0.257, 0.1285, 0, 2
4, 0, 0.39, 0.0975, 0, 4
8, 0, 0.535, 0.066875, 0, 8
16, 0, 0.667, 0.0416875, 0, 16
32, 0, 0.772, 0.024125, 0, 32
64, 0, 0.855, 0.013359375, 0, 64
128, 0, 0.922, 0.007203125, 0, 128
256, 0, 0.96, 0.00375, 0, 256
512, 0, 0.984, 0.001921875, 0, 512
1024, 0, 0.997, 0.0009736328125, 0, 1024
2048, 0, 0.998, 0.0004873046875, 0, 2048
4096, 0, 0.999, 0.000243896484375, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 3.814697265625e-06, 0, 262144
524288, 0, 1.0, 1.9073486328125e-06, 0, 524288
1048576, 0, 1.0, 9.5367431640625e-07, 0, 1048576
2097152, 0, 1.0, 4.76837158203125e-07, 0, 2097152
4194304, 0, 1.0, 4.272823178185699e-07, 0, 2340373
