# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/1_imagenet_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 19
#    Training the subspace: 1 / 8, 19 -> 38
#    Training the subspace: 2 / 8, 38 -> 57
#    Training the subspace: 3 / 8, 57 -> 76
#    Training the subspace: 4 / 8, 76 -> 95
#    Training the subspace: 5 / 8, 95 -> 114
#    Training the subspace: 6 / 8, 114 -> 132
#    Training the subspace: 7 / 8, 132 -> 150
# layer: 0,  residual average norm : 0.15008778870105743 max norm: 0.7559621334075928 min norm: 0.02325638011097908
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.041, 0.041, 0, 1
2, 0, 0.065, 0.0325, 0, 2
4, 0, 0.098, 0.0245, 0, 4
8, 0, 0.14, 0.0175, 0, 8
16, 0, 0.197, 0.0123125, 0, 16
32, 0, 0.274, 0.0085625, 0, 32
64, 0, 0.361, 0.005640625, 0, 64
128, 0, 0.465, 0.0036328125, 0, 128
256, 0, 0.602, 0.0023515625, 0, 256
512, 0, 0.714, 0.00139453125, 0, 512
1024, 0, 0.811, 0.0007919921875, 0, 1024
2048, 0, 0.875, 0.00042724609375, 0, 2048
4096, 0, 0.925, 0.000225830078125, 0, 4096
8192, 0, 0.959, 0.0001170654296875, 0, 8192
16384, 0, 0.979, 5.975341796875e-05, 0, 16384
32768, 0, 0.988, 3.01513671875e-05, 0, 32768
65536, 0, 0.992, 1.513671875e-05, 0, 65536
131072, 0, 0.997, 7.60650634765625e-06, 0, 131072
262144, 0, 0.999, 3.810882568359375e-06, 0, 262144
524288, 0, 1.0, 1.9073486328125e-06, 0, 524288
1048576, 0, 1.0, 9.5367431640625e-07, 0, 1048576
2097152, 0, 1.0, 4.76837158203125e-07, 0, 2097152
4194304, 0, 1.0, 4.272823178185699e-07, 0, 2340373
