# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/10_imagenet_product_groundtruth.ivecs
# ranking metric product
# AQ, M: 4, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.024775
# Mean AQ quantization error: 0.024913
# Mean AQ quantization error: 0.024896
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.021700000000000004, 0.21700000000000003, 0, 1
2, 0, 0.037899999999999996, 0.18949999999999997, 0, 2
4, 0, 0.0645, 0.16125, 0, 4
8, 0, 0.11359999999999999, 0.142, 0, 8
16, 0, 0.1898, 0.118625, 0, 16
32, 0, 0.2865, 0.08953124999999999, 0, 32
64, 0, 0.4045, 0.063203125, 0, 64
128, 0, 0.5322, 0.041578125, 0, 128
256, 0, 0.6687000000000001, 0.026121093750000005, 0, 256
512, 0, 0.7869, 0.015369140625000001, 0, 512
1024, 0, 0.8753, 0.0085478515625, 0, 1024
2048, 0, 0.9331999999999999, 0.0045566406249999995, 0, 2048
4096, 0, 0.9628000000000001, 0.0023505859375, 0, 4096
8192, 0, 0.981, 0.001197509765625, 0, 8192
16384, 0, 0.9898999999999999, 0.00060418701171875, 0, 16384
32768, 0, 0.9943, 0.000303436279296875, 0, 32768
65536, 0, 0.9971, 0.0001521453857421875, 0, 65536
131072, 0, 0.9986000000000002, 7.61871337890625e-05, 0, 131072
262144, 0, 0.9986000000000002, 3.809356689453125e-05, 0, 262144
524288, 0, 0.9986000000000002, 1.9046783447265626e-05, 0, 524288
1048576, 0, 0.9986000000000002, 9.523391723632813e-06, 0, 1048576
2097152, 0, 0.9986000000000002, 4.7616958618164066e-06, 0, 2097152
4194304, 0, 0.9986000000000002, 2.3808479309082033e-06, 0, 4194304
