# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/10_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 50
#    Training the subspace: 1 / 3, 50 -> 100
#    Training the subspace: 2 / 3, 100 -> 150
# layer: 0,  residual average norm : 0.5873901844024658 max norm: 0.9650877118110657 min norm: 0.0923566073179245
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.023399999999999997, 0.23399999999999999, 0, 1
2, 0, 0.0416, 0.208, 0, 2
4, 0, 0.07490000000000001, 0.18725000000000003, 0, 4
8, 0, 0.1297, 0.16212500000000002, 0, 8
16, 0, 0.2064, 0.129, 0, 16
32, 0, 0.3113, 0.09728125000000001, 0, 32
64, 0, 0.4395, 0.068671875, 0, 64
128, 0, 0.5751000000000001, 0.0449296875, 0, 128
256, 0, 0.6952999999999999, 0.027160156249999998, 0, 256
512, 0, 0.7984, 0.01559375, 0, 512
1024, 0, 0.8752000000000001, 0.008546875, 0, 1024
2048, 0, 0.934, 0.004560546875, 0, 2048
4096, 0, 0.9645000000000001, 0.0023547363281250003, 0, 4096
8192, 0, 0.981, 0.001197509765625, 0, 8192
16384, 0, 0.9895000000000002, 0.0006039428710937501, 0, 16384
32768, 0, 0.9936000000000001, 0.00030322265625000005, 0, 32768
65536, 0, 0.9958999999999999, 0.0001519622802734375, 0, 65536
131072, 0, 0.9973, 7.608795166015624e-05, 0, 131072
262144, 0, 0.9973, 3.804397583007812e-05, 0, 262144
524288, 0, 0.9973, 1.902198791503906e-05, 0, 524288
1048576, 0, 0.9973, 9.51099395751953e-06, 0, 1048576
2097152, 0, 0.9973, 4.755496978759765e-06, 0, 2097152
4194304, 0, 0.9973, 2.3777484893798826e-06, 0, 4194304
