# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/10_imagenet_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.20509201288223267 max norm: 0.8650335669517517 min norm: 0.028300635516643524
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.1793849766254425 max norm: 0.7998328804969788 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 2,  residual average norm : 0.16378386318683624 max norm: 0.6254310607910156 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 3,  residual average norm : 0.15231886506080627 max norm: 0.5719641447067261 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0294, 0.294, 0, 1
2, 0, 0.04909999999999999, 0.24549999999999994, 0, 2
4, 0, 0.0846, 0.2115, 0, 4
8, 0, 0.13989999999999997, 0.17487499999999995, 0, 8
16, 0, 0.2205, 0.1378125, 0, 16
32, 0, 0.32489999999999997, 0.10153124999999999, 0, 32
64, 0, 0.45430000000000004, 0.070984375, 0, 64
128, 0, 0.585, 0.045703125, 0, 128
256, 0, 0.7027, 0.02744921875, 0, 256
512, 0, 0.8000999999999999, 0.015626953125, 0, 512
1024, 0, 0.8745999999999999, 0.008541015624999999, 0, 1024
2048, 0, 0.9245, 0.00451416015625, 0, 2048
4096, 0, 0.9558999999999999, 0.002333740234375, 0, 4096
8192, 0, 0.9726, 0.001187255859375, 0, 8192
16384, 0, 0.9845999999999999, 0.0006009521484375, 0, 16384
32768, 0, 0.9911, 0.000302459716796875, 0, 32768
65536, 0, 0.995, 0.000151824951171875, 0, 65536
131072, 0, 0.9979, 7.613372802734374e-05, 0, 131072
262144, 0, 0.9979, 3.806686401367187e-05, 0, 262144
524288, 0, 0.9979, 1.9033432006835936e-05, 0, 524288
1048576, 0, 0.9979, 9.516716003417968e-06, 0, 1048576
2097152, 0, 0.9979, 4.758358001708984e-06, 0, 2097152
4194304, 0, 0.9979, 2.379179000854492e-06, 0, 4194304
