# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/10_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: AQ, M: 7, Ks : 256, code_dtype: <class 'numpy.int32'>
# Mean AQ quantization error: 0.166628
# compress items
# Mean AQ quantization error: 0.176775
# Mean AQ quantization error: 0.177927
# Mean AQ quantization error: 0.177904
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0587, 0.587, 0, 1
2, 0, 0.1037, 0.5185, 0, 2
4, 0, 0.18530000000000002, 0.46325000000000005, 0, 4
8, 0, 0.3093, 0.386625, 0, 8
16, 0, 0.47730000000000006, 0.29831250000000004, 0, 16
32, 0, 0.6454000000000001, 0.20168750000000002, 0, 32
64, 0, 0.7899, 0.12342187500000001, 0, 64
128, 0, 0.8930999999999999, 0.0697734375, 0, 128
256, 0, 0.9488, 0.0370625, 0, 256
512, 0, 0.9805, 0.019150390625, 0, 512
1024, 0, 0.9934, 0.009701171875, 0, 1024
2048, 0, 0.9975, 0.004870605468750001, 0, 2048
4096, 0, 0.9985, 0.0024377441406250003, 0, 4096
8192, 0, 0.9994, 0.001219970703125, 0, 8192
16384, 0, 0.9996999999999999, 0.00061016845703125, 0, 16384
32768, 0, 0.9997999999999999, 0.00030511474609375, 0, 32768
65536, 0, 0.9997999999999999, 0.000152557373046875, 0, 65536
131072, 0, 0.9999, 7.628631591796875e-05, 0, 131072
262144, 0, 0.9999, 3.814315795898438e-05, 0, 262144
524288, 0, 0.9999, 1.907157897949219e-05, 0, 524288
1048576, 0, 0.9999, 9.535789489746094e-06, 0, 1048576
2097152, 0, 0.9999, 4.767894744873047e-06, 0, 2097152
4194304, 0, 0.9999, 2.3839473724365236e-06, 0, 4194304
