# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/10_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 22
#    Training the subspace: 1 / 7, 22 -> 44
#    Training the subspace: 2 / 7, 44 -> 66
#    Training the subspace: 3 / 7, 66 -> 87
#    Training the subspace: 4 / 7, 87 -> 108
#    Training the subspace: 5 / 7, 108 -> 129
#    Training the subspace: 6 / 7, 129 -> 150
# layer: 0,  residual average norm : 0.4502658545970917 max norm: 0.8132748007774353 min norm: 0.10449995845556259
# layer: 0,  residual average norm : 0.45026588439941406 max norm: 0.8132748007774353 min norm: 0.10449996590614319
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0435, 0.43499999999999994, 0, 1
2, 0, 0.08059999999999999, 0.40299999999999997, 0, 2
4, 0, 0.1401, 0.35025, 0, 4
8, 0, 0.23289999999999997, 0.29112499999999997, 0, 8
16, 0, 0.36519999999999997, 0.22824999999999998, 0, 16
32, 0, 0.5214, 0.16293749999999999, 0, 32
64, 0, 0.6812, 0.1064375, 0, 64
128, 0, 0.8096000000000001, 0.06325, 0, 128
256, 0, 0.9003, 0.03516796875, 0, 256
512, 0, 0.9567, 0.018685546875, 0, 512
1024, 0, 0.9813000000000001, 0.0095830078125, 0, 1024
2048, 0, 0.9915999999999999, 0.004841796874999999, 0, 2048
4096, 0, 0.997, 0.00243408203125, 0, 4096
8192, 0, 0.9992000000000001, 0.0012197265625, 0, 8192
16384, 0, 0.9995, 0.0006100463867187501, 0, 16384
32768, 0, 0.9997, 0.000305084228515625, 0, 32768
65536, 0, 0.9997999999999999, 0.000152557373046875, 0, 65536
131072, 0, 0.9999, 7.628631591796875e-05, 0, 131072
262144, 0, 0.9999, 3.814315795898438e-05, 0, 262144
524288, 0, 0.9999, 1.907157897949219e-05, 0, 524288
1048576, 0, 0.9999, 9.535789489746094e-06, 0, 1048576
2097152, 0, 0.9999, 4.767894744873047e-06, 0, 2097152
4194304, 0, 0.9999, 2.3839473724365236e-06, 0, 4194304
