# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/10_imagenet_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 19
#    Training the subspace: 1 / 8, 19 -> 38
#    Training the subspace: 2 / 8, 38 -> 57
#    Training the subspace: 3 / 8, 57 -> 76
#    Training the subspace: 4 / 8, 76 -> 95
#    Training the subspace: 5 / 8, 95 -> 114
#    Training the subspace: 6 / 8, 114 -> 132
#    Training the subspace: 7 / 8, 132 -> 150
# layer: 0,  residual average norm : 0.13034270703792572 max norm: 0.7184332609176636 min norm: 0.025565803050994873
# layer: 0,  residual average norm : 0.13034270703792572 max norm: 0.7184333205223083 min norm: 0.02556580677628517
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.023200000000000002, 0.232, 0, 1
2, 0, 0.044, 0.21999999999999997, 0, 2
4, 0, 0.07280000000000002, 0.18200000000000005, 0, 4
8, 0, 0.12070000000000002, 0.150875, 0, 8
16, 0, 0.184, 0.11499999999999999, 0, 16
32, 0, 0.2641, 0.08253125, 0, 32
64, 0, 0.3685, 0.057578125, 0, 64
128, 0, 0.48710000000000003, 0.0380546875, 0, 128
256, 0, 0.6245999999999999, 0.024398437499999998, 0, 256
512, 0, 0.7513, 0.014673828125, 0, 512
1024, 0, 0.8452, 0.00825390625, 0, 1024
2048, 0, 0.9110999999999999, 0.0044487304687499995, 0, 2048
4096, 0, 0.9527, 0.002325927734375, 0, 4096
8192, 0, 0.9762999999999998, 0.0011917724609374998, 0, 8192
16384, 0, 0.9879, 0.00060296630859375, 0, 16384
32768, 0, 0.9946, 0.00030352783203125, 0, 32768
65536, 0, 0.9969000000000001, 0.00015211486816406252, 0, 65536
131072, 0, 0.9986999999999998, 7.619476318359374e-05, 0, 131072
262144, 0, 0.9986999999999998, 3.809738159179687e-05, 0, 262144
524288, 0, 0.9986999999999998, 1.9048690795898434e-05, 0, 524288
1048576, 0, 0.9986999999999998, 9.524345397949217e-06, 0, 1048576
2097152, 0, 0.9986999999999998, 4.7621726989746086e-06, 0, 2097152
4194304, 0, 0.9986999999999998, 2.3810863494873043e-06, 0, 4194304
