# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f305df8fa20>, <aq.AQ object at 0x7f30482a0c50>]
#    Training the XPQ subspace: 0 / 2, 0 -> 75
#    Training the XPQ subspace: 1 / 2, 75 -> 150
# compress items
# Mean AQ quantization error: 0.007564
# Mean AQ quantization error: 0.002422
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04285, 0.857, 0, 1
2, 0, 0.0818, 0.818, 0, 2
4, 0, 0.15089999999999998, 0.7545, 0, 4
8, 0, 0.26115, 0.652875, 0, 8
16, 0, 0.41609999999999997, 0.520125, 0, 16
32, 0, 0.5867, 0.3666875, 0, 32
64, 0, 0.7384000000000001, 0.23075, 0, 64
128, 0, 0.8500500000000001, 0.1328203125, 0, 128
256, 0, 0.9225, 0.0720703125, 0, 256
512, 0, 0.96395, 0.037654296875, 0, 512
1024, 0, 0.9843, 0.019224609375, 0, 1024
2048, 0, 0.9938, 0.009705078125, 0, 2048
4096, 0, 0.9971, 0.00486865234375, 0, 4096
8192, 0, 0.99885, 0.0024385986328125, 0, 8192
16384, 0, 0.9994999999999999, 0.0012200927734375, 0, 16384
32768, 0, 0.9997, 0.00061016845703125, 0, 32768
65536, 0, 0.9999499999999999, 0.0003051605224609375, 0, 65536
131072, 0, 0.9999499999999999, 0.00015258026123046874, 0, 131072
262144, 0, 0.9999499999999999, 7.629013061523437e-05, 0, 262144
524288, 0, 1.0, 3.814697265625e-05, 0, 524288
1048576, 0, 1.0, 1.9073486328125e-05, 0, 1048576
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
