# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 15, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 15, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 15, 0 -> 10
#    Training the subspace: 1 / 15, 10 -> 20
#    Training the subspace: 2 / 15, 20 -> 30
#    Training the subspace: 3 / 15, 30 -> 40
#    Training the subspace: 4 / 15, 40 -> 50
#    Training the subspace: 5 / 15, 50 -> 60
#    Training the subspace: 6 / 15, 60 -> 70
#    Training the subspace: 7 / 15, 70 -> 80
#    Training the subspace: 8 / 15, 80 -> 90
#    Training the subspace: 9 / 15, 90 -> 100
#    Training the subspace: 10 / 15, 100 -> 110
#    Training the subspace: 11 / 15, 110 -> 120
#    Training the subspace: 12 / 15, 120 -> 130
#    Training the subspace: 13 / 15, 130 -> 140
#    Training the subspace: 14 / 15, 140 -> 150
# layer: 0,  residual average norm : 0.3345138132572174 max norm: 0.6364342570304871 min norm: 0.10127556324005127
# layer: 0,  residual average norm : 0.3345138132572174 max norm: 0.6364341974258423 min norm: 0.10127558559179306
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04, 0.8, 0, 1
2, 0, 0.07765, 0.7765, 0, 2
4, 0, 0.14584999999999998, 0.72925, 0, 4
8, 0, 0.26080000000000003, 0.6520000000000001, 0, 8
16, 0, 0.43955, 0.5494375, 0, 16
32, 0, 0.64555, 0.40346875, 0, 32
64, 0, 0.8233499999999999, 0.257296875, 0, 64
128, 0, 0.931, 0.14546875, 0, 128
256, 0, 0.97715, 0.07633984375, 0, 256
512, 0, 0.9939500000000001, 0.038826171875, 0, 512
1024, 0, 0.9986, 0.01950390625, 0, 1024
2048, 0, 0.9995499999999999, 0.00976123046875, 0, 2048
4096, 0, 0.9997999999999999, 0.0048818359375, 0, 4096
8192, 0, 0.9999, 0.002441162109375, 0, 8192
16384, 0, 0.9999499999999999, 0.00122064208984375, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
524288, 0, 1.0, 3.814697265625e-05, 0, 524288
1048576, 0, 1.0, 1.9073486328125e-05, 0, 1048576
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
