# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 16, 0 -> 10
#    Training the subspace: 1 / 16, 10 -> 20
#    Training the subspace: 2 / 16, 20 -> 30
#    Training the subspace: 3 / 16, 30 -> 40
#    Training the subspace: 4 / 16, 40 -> 50
#    Training the subspace: 5 / 16, 50 -> 60
#    Training the subspace: 6 / 16, 60 -> 69
#    Training the subspace: 7 / 16, 69 -> 78
#    Training the subspace: 8 / 16, 78 -> 87
#    Training the subspace: 9 / 16, 87 -> 96
#    Training the subspace: 10 / 16, 96 -> 105
#    Training the subspace: 11 / 16, 105 -> 114
#    Training the subspace: 12 / 16, 114 -> 123
#    Training the subspace: 13 / 16, 123 -> 132
#    Training the subspace: 14 / 16, 132 -> 141
#    Training the subspace: 15 / 16, 141 -> 150
# layer: 0,  residual average norm : 0.11879817396402359 max norm: 0.6328340768814087 min norm: 0.015265443362295628
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.026000000000000002, 0.52, 0, 1
2, 0, 0.046, 0.45999999999999996, 0, 2
4, 0, 0.0829, 0.4145, 0, 4
8, 0, 0.13815, 0.345375, 0, 8
16, 0, 0.21949999999999997, 0.274375, 0, 16
32, 0, 0.33205, 0.20753125, 0, 32
64, 0, 0.46005, 0.143765625, 0, 64
128, 0, 0.602, 0.0940625, 0, 128
256, 0, 0.7344999999999999, 0.05738281249999999, 0, 256
512, 0, 0.83545, 0.032634765625, 0, 512
1024, 0, 0.9052, 0.0176796875, 0, 1024
2048, 0, 0.9484, 0.00926171875, 0, 2048
4096, 0, 0.9724999999999999, 0.00474853515625, 0, 4096
8192, 0, 0.9849, 0.002404541015625, 0, 8192
16384, 0, 0.99275, 0.00121185302734375, 0, 16384
32768, 0, 0.9964000000000001, 0.000608154296875, 0, 32768
65536, 0, 0.9981500000000001, 0.0003046112060546875, 0, 65536
131072, 0, 0.99915, 0.00015245819091796875, 0, 131072
262144, 0, 0.9996499999999999, 7.626724243164062e-05, 0, 262144
524288, 0, 0.99985, 3.814125061035156e-05, 0, 524288
1048576, 0, 0.9999, 1.907157897949219e-05, 0, 1048576
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
