# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# AQ, M: 2, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.036359, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0014, 0.028, 0, 0
2, 0, 0.0031, 0.031, 0, 0
4, 0, 0.0060999999999999995, 0.0305, 0, 0
8, 0, 0.01335, 0.033375, 0, 0
16, 0, 0.02695, 0.0336875, 0, 0
32, 0, 0.04985, 0.03115625, 0, 0
64, 0, 0.09135, 0.028546875, 0, 0
128, 0, 0.162, 0.0253125, 0, 0
256, 0, 0.26375000000000004, 0.02060546875, 0, 0
512, 0, 0.40685000000000004, 0.015892578125, 0, 0
1024, 0, 0.55165, 0.0107744140625, 0, 0
2048, 0, 0.6898, 0.006736328125, 0, 0
4096, 0, 0.79295, 0.0038718261718750004, 0, 0
8192, 0, 0.8634999999999999, 0.002108154296875, 0, 0
16384, 0, 0.9125, 0.0011138916015625, 0, 0
32768, 0, 0.943, 0.0005755615234375, 0, 0
65536, 0, 0.96205, 0.0002935943603515625, 0, 0
131072, 0, 0.9766, 0.000149017333984375, 0, 0
262144, 0, 0.9894000000000001, 7.54852294921875e-05, 0, 0
524288, 0, 0.9964999999999999, 3.8013458251953124e-05, 0, 0
1048576, 0, 0.9994, 1.9062042236328125e-05, 0, 0
2097152, 0, 0.9999499999999999, 9.536266326904296e-06, 0, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 0
