# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# NormPQ, percentiles: 256, quantize: AQ, M: 1, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.495123, 0
# Mean AQ quantization error: 0.495123, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0048000000000000004, 0.096, 0, 0
2, 0, 0.00995, 0.0995, 0, 0
4, 0, 0.02, 0.1, 0, 0
8, 0, 0.0355, 0.08875, 0, 0
16, 0, 0.06735, 0.0841875, 0, 0
32, 0, 0.1203, 0.0751875, 0, 0
64, 0, 0.19524999999999998, 0.06101562499999999, 0, 0
128, 0, 0.28885, 0.0451328125, 0, 0
256, 0, 0.4085, 0.0319140625, 0, 0
512, 0, 0.53335, 0.020833984375, 0, 0
1024, 0, 0.64825, 0.0126611328125, 0, 0
2048, 0, 0.75195, 0.00734326171875, 0, 0
4096, 0, 0.8337, 0.00407080078125, 0, 0
8192, 0, 0.8914500000000001, 0.0021763916015625, 0, 0
16384, 0, 0.9343999999999999, 0.001140625, 0, 0
32768, 0, 0.9595499999999999, 0.000585662841796875, 0, 0
65536, 0, 0.9722500000000001, 0.0002967071533203125, 0, 0
131072, 0, 0.9814, 0.000149749755859375, 0, 0
262144, 0, 0.9882500000000001, 7.539749145507813e-05, 0, 0
524288, 0, 0.99305, 3.7881851196289064e-05, 0, 0
1048576, 0, 0.9962500000000001, 1.9001960754394532e-05, 0, 0
2097152, 0, 0.99885, 9.525775909423828e-06, 0, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 0
