# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6848738193511963 max norm: 1.0334279537200928 min norm: 0.13755501806735992
# layer: 0,  residual average norm : 0.6848738193511963 max norm: 1.0334279537200928 min norm: 0.1375550627708435
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0056, 0.112, 0, 1
2, 0, 0.01045, 0.1045, 0, 2
4, 0, 0.020050000000000002, 0.10025, 0, 4
8, 0, 0.03910000000000001, 0.09775000000000003, 0, 8
16, 0, 0.07125, 0.08906249999999999, 0, 16
32, 0, 0.1187, 0.0741875, 0, 32
64, 0, 0.18989999999999999, 0.059343749999999994, 0, 64
128, 0, 0.28515, 0.0445546875, 0, 128
256, 0, 0.3984, 0.031125, 0, 256
512, 0, 0.52425, 0.020478515625, 0, 512
1024, 0, 0.6421999999999999, 0.012542968749999998, 0, 1024
2048, 0, 0.74315, 0.00725732421875, 0, 2048
4096, 0, 0.8315, 0.00406005859375, 0, 4096
8192, 0, 0.8881, 0.002168212890625, 0, 8192
16384, 0, 0.92995, 0.00113519287109375, 0, 16384
32768, 0, 0.9552, 0.0005830078125, 0, 32768
65536, 0, 0.9701000000000001, 0.000296051025390625, 0, 65536
131072, 0, 0.97955, 0.00014946746826171876, 0, 131072
262144, 0, 0.97955, 7.473373413085938e-05, 0, 262144
524288, 0, 0.97955, 3.736686706542969e-05, 0, 524288
1048576, 0, 0.97955, 1.8683433532714845e-05, 0, 1048576
2097152, 0, 0.97955, 9.341716766357422e-06, 0, 2097152
4194304, 0, 0.97955, 4.670858383178711e-06, 0, 4194304
