# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 75
#    Training the subspace: 1 / 2, 75 -> 150
# layer: 0,  residual average norm : 0.1844886988401413 max norm: 0.8611857295036316 min norm: 0.027102695778012276
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00335, 0.067, 0, 1
2, 0, 0.00635, 0.0635, 0, 2
4, 0, 0.0115, 0.057499999999999996, 0, 4
8, 0, 0.0164, 0.041, 0, 8
16, 0, 0.02475, 0.0309375, 0, 16
32, 0, 0.04215, 0.02634375, 0, 32
64, 0, 0.07285, 0.022765624999999998, 0, 64
128, 0, 0.1261, 0.019703125, 0, 128
256, 0, 0.20234999999999997, 0.01580859375, 0, 256
512, 0, 0.32055, 0.012521484375, 0, 512
1024, 0, 0.45125000000000004, 0.0088134765625, 0, 1024
2048, 0, 0.59505, 0.00581103515625, 0, 2048
4096, 0, 0.71325, 0.003482666015625, 0, 4096
8192, 0, 0.8080999999999999, 0.001972900390625, 0, 8192
16384, 0, 0.8824500000000001, 0.00107720947265625, 0, 16384
32768, 0, 0.9337500000000001, 0.000569915771484375, 0, 32768
65536, 0, 0.96105, 0.0002932891845703125, 0, 65536
131072, 0, 0.9778499999999999, 0.00014920806884765624, 0, 131072
262144, 0, 0.9882, 7.53936767578125e-05, 0, 262144
524288, 0, 0.99545, 3.797340393066406e-05, 0, 524288
1048576, 0, 0.99895, 1.9053459167480468e-05, 0, 1048576
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
