# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 1, 0 -> 150, 0
# layer: 0,  residual average norm : 0.20509226620197296 max norm: 0.8650335669517517 min norm: 0.028300635516643524, 0
#    Training the subspace: 0 / 1, 0 -> 150, 0
# layer: 1,  residual average norm : 0.17940162122249603 max norm: 0.8014782667160034 min norm: 0.0, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0028, 0.056, 0, 0
2, 0, 0.00575, 0.057499999999999996, 0, 0
4, 0, 0.01145, 0.05725, 0, 0
8, 0, 0.0233, 0.05825, 0, 0
16, 0, 0.045, 0.056249999999999994, 0, 0
32, 0, 0.08175, 0.05109375, 0, 0
64, 0, 0.142, 0.044375, 0, 0
128, 0, 0.23135, 0.0361484375, 0, 0
256, 0, 0.35215, 0.02751171875, 0, 0
512, 0, 0.49065000000000003, 0.019166015625, 0, 0
1024, 0, 0.615, 0.01201171875, 0, 0
2048, 0, 0.72175, 0.00704833984375, 0, 0
4096, 0, 0.80975, 0.003953857421875, 0, 0
8192, 0, 0.87425, 0.0021343994140625, 0, 0
16384, 0, 0.91935, 0.00112225341796875, 0, 0
32768, 0, 0.94895, 0.000579193115234375, 0, 0
65536, 0, 0.9705999999999999, 0.00029620361328125, 0, 0
131072, 0, 0.98255, 0.00014992523193359375, 0, 0
262144, 0, 0.9916, 7.5653076171875e-05, 0, 0
524288, 0, 0.99635, 3.800773620605469e-05, 0, 0
1048576, 0, 0.9990500000000001, 1.9055366516113283e-05, 0, 0
2097152, 0, 0.9999499999999999, 9.536266326904296e-06, 0, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 0
