# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# NormPQ, percentiles: 256, quantize: AQ, M: 3, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.301974, 0
# Mean AQ quantization error: 0.301974, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items, 0
1, 0, 0.017499999999999998, 0.35, 0, 1, 0
2, 0, 0.0348, 0.348, 0, 2, 0
4, 0, 0.06470000000000001, 0.3235, 0, 4, 0
8, 0, 0.11525, 0.288125, 0, 8, 0
16, 0, 0.198, 0.2475, 0, 16, 0
32, 0, 0.31505, 0.19690625, 0, 32, 0
64, 0, 0.46475, 0.145234375, 0, 64, 0
128, 0, 0.61105, 0.0954765625, 0, 128, 0
256, 0, 0.7417, 0.0579453125, 0, 256, 0
512, 0, 0.84825, 0.033134765625, 0, 512, 0
1024, 0, 0.9177500000000001, 0.0179248046875, 0, 1024, 0
2048, 0, 0.9589000000000001, 0.0093642578125, 0, 2048, 0
4096, 0, 0.98135, 0.004791748046875, 0, 4096, 0
8192, 0, 0.99075, 0.0024188232421875, 0, 8192, 0
16384, 0, 0.99505, 0.00121466064453125, 0, 16384, 0
32768, 0, 0.9978, 0.0006090087890625, 0, 32768, 0
65536, 0, 0.9987, 0.000304779052734375, 0, 65536, 0
131072, 0, 0.99935, 0.00015248870849609374, 0, 131072, 0
262144, 0, 0.99975, 7.627487182617188e-05, 0, 262144, 0
524288, 0, 0.9999, 3.814315795898438e-05, 0, 524288, 0
1048576, 0, 0.9999499999999999, 1.9072532653808593e-05, 0, 1048576, 0
2097152, 0, 0.9999499999999999, 9.536266326904296e-06, 0, 2097152, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373, 0
