# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6845831274986267 max norm: 1.0298324823379517 min norm: 0.13112014532089233
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.5997606515884399 max norm: 0.9630307555198669 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 2,  residual average norm : 0.5486661791801453 max norm: 0.9237878918647766 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01755, 0.351, 0, 1
2, 0, 0.033350000000000005, 0.3335, 0, 2
4, 0, 0.0586, 0.293, 0, 4
8, 0, 0.10255, 0.256375, 0, 8
16, 0, 0.17504999999999998, 0.21881249999999997, 0, 16
32, 0, 0.28035, 0.17521874999999998, 0, 32
64, 0, 0.41405000000000003, 0.129390625, 0, 64
128, 0, 0.5605, 0.087578125, 0, 128
256, 0, 0.7009000000000001, 0.0547578125, 0, 256
512, 0, 0.8186500000000001, 0.031978515625, 0, 512
1024, 0, 0.89855, 0.0175498046875, 0, 1024
2048, 0, 0.94725, 0.00925048828125, 0, 2048
4096, 0, 0.9741, 0.00475634765625, 0, 4096
8192, 0, 0.9862, 0.00240771484375, 0, 8192
16384, 0, 0.99315, 0.00121234130859375, 0, 16384
32768, 0, 0.9962, 0.0006080322265625, 0, 32768
65536, 0, 0.9976, 0.000304443359375, 0, 65536
131072, 0, 0.9984500000000001, 0.00015235137939453126, 0, 131072
262144, 0, 0.99895, 7.621383666992187e-05, 0, 262144
524288, 0, 0.9996, 3.81317138671875e-05, 0, 524288
1048576, 0, 0.99985, 1.907062530517578e-05, 0, 1048576
2097152, 0, 0.9999499999999999, 9.536266326904296e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
