# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 4, 0 -> 38, 0
#    Training the subspace: 1 / 4, 38 -> 76, 0
#    Training the subspace: 2 / 4, 76 -> 113, 0
#    Training the subspace: 3 / 4, 113 -> 150, 0
# layer: 0,  residual average norm : 0.17429228127002716 max norm: 0.8122851848602295 min norm: 0.0283976923674345, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0047, 0.094, 0, 0
2, 0, 0.0083, 0.083, 0, 0
4, 0, 0.0159, 0.0795, 0, 0
8, 0, 0.028399999999999998, 0.071, 0, 0
16, 0, 0.0493, 0.061625, 0, 0
32, 0, 0.07835, 0.048968750000000005, 0, 0
64, 0, 0.12585, 0.039328125, 0, 0
128, 0, 0.18975, 0.0296484375, 0, 0
256, 0, 0.2747, 0.0214609375, 0, 0
512, 0, 0.38405, 0.015001953125, 0, 0
1024, 0, 0.51215, 0.0100029296875, 0, 0
2048, 0, 0.64885, 0.00633642578125, 0, 0
4096, 0, 0.7748999999999999, 0.0037836914062499994, 0, 0
8192, 0, 0.85975, 0.0020989990234375, 0, 0
16384, 0, 0.91845, 0.00112115478515625, 0, 0
32768, 0, 0.9531499999999999, 0.000581756591796875, 0, 0
65536, 0, 0.97115, 0.0002963714599609375, 0, 0
131072, 0, 0.9837, 0.0001501007080078125, 0, 0
262144, 0, 0.9919499999999999, 7.567977905273437e-05, 0, 0
524288, 0, 0.9967499999999999, 3.8022994995117185e-05, 0, 0
1048576, 0, 0.999, 1.9054412841796875e-05, 0, 0
2097152, 0, 0.9999, 9.535789489746094e-06, 0, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 0
