# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 1, 0 -> 150, 0
# layer: 0,  residual average norm : 0.20509226620197296 max norm: 0.8650335669517517 min norm: 0.028300635516643524, 0
#    Training the subspace: 0 / 1, 0 -> 150, 0
# layer: 1,  residual average norm : 0.17940162122249603 max norm: 0.8014782667160034 min norm: 0.0, 0
#    Training the subspace: 0 / 1, 0 -> 150, 0
# layer: 2,  residual average norm : 0.16379638016223907 max norm: 0.6748961210250854 min norm: 0.0, 0
#    Training the subspace: 0 / 1, 0 -> 150, 0
# layer: 3,  residual average norm : 0.15229861438274384 max norm: 0.5869590640068054 min norm: 0.0, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01955, 0.391, 0, 0
2, 0, 0.0361, 0.361, 0, 0
4, 0, 0.065, 0.325, 0, 0
8, 0, 0.1133, 0.28325, 0, 0
16, 0, 0.18895, 0.2361875, 0, 0
32, 0, 0.2824, 0.1765, 0, 0
64, 0, 0.40164999999999995, 0.125515625, 0, 0
128, 0, 0.53315, 0.0833046875, 0, 0
256, 0, 0.6611, 0.051648437500000005, 0, 0
512, 0, 0.7727999999999999, 0.0301875, 0, 0
1024, 0, 0.8542, 0.01668359375, 0, 0
2048, 0, 0.9109999999999999, 0.008896484375, 0, 0
4096, 0, 0.9484, 0.004630859375, 0, 0
8192, 0, 0.9717499999999999, 0.0023724365234375, 0, 0
16384, 0, 0.98375, 0.00120086669921875, 0, 0
32768, 0, 0.9913500000000001, 0.000605072021484375, 0, 0
65536, 0, 0.99515, 0.0003036956787109375, 0, 0
131072, 0, 0.99785, 0.00015225982666015626, 0, 0
262144, 0, 0.9992000000000001, 7.623291015625e-05, 0, 0
524288, 0, 0.9997999999999999, 3.813934326171875e-05, 0, 0
1048576, 0, 0.9999, 1.907157897949219e-05, 0, 0
2097152, 0, 0.9999499999999999, 9.536266326904296e-06, 0, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 0
