# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f5602c28978>, <aq.AQ object at 0x7f55ecf39da0>]
#    Training the XPQ subspace: 0 / 2, 0 -> 75
#    Training the XPQ subspace: 1 / 2, 75 -> 150
# compress items
# Mean AQ quantization error: 0.014436
# Mean AQ quantization error: 0.004547
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0268, 0.536, 0, 1
2, 0, 0.0493, 0.493, 0, 2
4, 0, 0.0901, 0.4505, 0, 4
8, 0, 0.15335000000000001, 0.383375, 0, 8
16, 0, 0.24415, 0.3051875, 0, 16
32, 0, 0.36305, 0.22690624999999998, 0, 32
64, 0, 0.49640000000000006, 0.155125, 0, 64
128, 0, 0.6355999999999999, 0.0993125, 0, 128
256, 0, 0.7599, 0.0593671875, 0, 256
512, 0, 0.85395, 0.033357421875, 0, 512
1024, 0, 0.91845, 0.0179384765625, 0, 1024
2048, 0, 0.95845, 0.00935986328125, 0, 2048
4096, 0, 0.98055, 0.004787841796875, 0, 4096
8192, 0, 0.9915499999999999, 0.0024207763671875, 0, 8192
16384, 0, 0.99655, 0.00121649169921875, 0, 16384
32768, 0, 0.99835, 0.000609344482421875, 0, 32768
65536, 0, 0.9991, 0.000304901123046875, 0, 65536
131072, 0, 0.9996, 0.00015252685546875, 0, 131072
262144, 0, 0.9997, 7.627105712890625e-05, 0, 262144
524288, 0, 0.99985, 3.814125061035156e-05, 0, 524288
1048576, 0, 0.9999, 1.907157897949219e-05, 0, 1048576
2097152, 0, 0.9999499999999999, 9.536266326904296e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
