# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 19
#    Training the subspace: 1 / 8, 19 -> 38
#    Training the subspace: 2 / 8, 38 -> 57
#    Training the subspace: 3 / 8, 57 -> 76
#    Training the subspace: 4 / 8, 76 -> 95
#    Training the subspace: 5 / 8, 95 -> 114
#    Training the subspace: 6 / 8, 114 -> 132
#    Training the subspace: 7 / 8, 132 -> 150
# layer: 0,  residual average norm : 0.43548890948295593 max norm: 0.7692259550094604 min norm: 0.11579075455665588
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.028399999999999998, 0.568, 0, 1
2, 0, 0.055700000000000006, 0.557, 0, 2
4, 0, 0.1055, 0.5275, 0, 4
8, 0, 0.1865, 0.46625, 0, 8
16, 0, 0.31255, 0.39068749999999997, 0, 16
32, 0, 0.47225, 0.29515625, 0, 32
64, 0, 0.6456500000000001, 0.201765625, 0, 64
128, 0, 0.7920499999999999, 0.12375781249999998, 0, 128
256, 0, 0.89225, 0.06970703125, 0, 256
512, 0, 0.95145, 0.037166015625, 0, 512
1024, 0, 0.9795, 0.019130859375, 0, 1024
2048, 0, 0.9917, 0.0096845703125, 0, 2048
4096, 0, 0.99665, 0.004866455078125, 0, 4096
8192, 0, 0.9986499999999999, 0.0024381103515625, 0, 8192
16384, 0, 0.9995499999999999, 0.00122015380859375, 0, 16384
32768, 0, 0.9999, 0.00061029052734375, 0, 32768
65536, 0, 0.9999499999999999, 0.0003051605224609375, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
524288, 0, 1.0, 3.814697265625e-05, 0, 524288
1048576, 0, 1.0, 1.9073486328125e-05, 0, 1048576
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
