# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 19
#    Training the subspace: 1 / 8, 19 -> 38
#    Training the subspace: 2 / 8, 38 -> 57
#    Training the subspace: 3 / 8, 57 -> 76
#    Training the subspace: 4 / 8, 76 -> 95
#    Training the subspace: 5 / 8, 95 -> 114
#    Training the subspace: 6 / 8, 114 -> 132
#    Training the subspace: 7 / 8, 132 -> 150
# layer: 0,  residual average norm : 0.1303294599056244 max norm: 0.7161723971366882 min norm: 0.026559242978692055
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01795, 0.359, 0, 1
2, 0, 0.0322, 0.322, 0, 2
4, 0, 0.055700000000000006, 0.2785, 0, 4
8, 0, 0.0945, 0.23625000000000002, 0, 8
16, 0, 0.15125, 0.1890625, 0, 16
32, 0, 0.23165, 0.14478125, 0, 32
64, 0, 0.3364, 0.105125, 0, 64
128, 0, 0.45904999999999996, 0.0717265625, 0, 128
256, 0, 0.5912, 0.04618749999999999, 0, 256
512, 0, 0.72385, 0.028275390625, 0, 512
1024, 0, 0.82775, 0.0161669921875, 0, 1024
2048, 0, 0.9012, 0.00880078125, 0, 2048
4096, 0, 0.9490500000000001, 0.004634033203125, 0, 4096
8192, 0, 0.97425, 0.0023785400390625, 0, 8192
16384, 0, 0.9871000000000001, 0.0012049560546875, 0, 16384
32768, 0, 0.9934, 0.0006063232421875, 0, 32768
65536, 0, 0.9965999999999999, 0.00030413818359375, 0, 65536
131072, 0, 0.9983000000000001, 0.0001523284912109375, 0, 131072
262144, 0, 0.9994999999999999, 7.625579833984374e-05, 0, 262144
524288, 0, 0.9997999999999999, 3.813934326171875e-05, 0, 524288
1048576, 0, 0.99985, 1.907062530517578e-05, 0, 1048576
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
