# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/5_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6843136548995972 max norm: 1.0400437116622925 min norm: 0.13191360235214233
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.012600000000000002, 0.06300000000000001, 0, 1
2, 0, 0.0252, 0.063, 0, 2
4, 0, 0.0446, 0.05575, 0, 4
8, 0, 0.073, 0.045625, 0, 8
16, 0, 0.1214, 0.0379375, 0, 16
32, 0, 0.1816, 0.028375, 0, 32
64, 0, 0.26339999999999997, 0.020578124999999996, 0, 64
128, 0, 0.35919999999999996, 0.014031249999999999, 0, 128
256, 0, 0.465, 0.00908203125, 0, 256
512, 0, 0.5771999999999999, 0.005636718749999999, 0, 512
1024, 0, 0.6858, 0.0033486328125, 0, 1024
2048, 0, 0.777, 0.0018969726562500001, 0, 2048
4096, 0, 0.851, 0.001038818359375, 0, 4096
8192, 0, 0.9036000000000001, 0.0005515136718750001, 0, 8192
16384, 0, 0.9378, 0.00028619384765625, 0, 16384
32768, 0, 0.9602, 0.000146514892578125, 0, 32768
65536, 0, 0.9735999999999999, 7.427978515624999e-05, 0, 65536
131072, 0, 0.984, 3.753662109375e-05, 0, 131072
262144, 0, 0.984, 1.8768310546875e-05, 0, 262144
524288, 0, 0.984, 9.3841552734375e-06, 0, 524288
1048576, 0, 0.984, 4.69207763671875e-06, 0, 1048576
2097152, 0, 0.984, 2.346038818359375e-06, 0, 2097152
4194304, 0, 0.984, 1.1730194091796875e-06, 0, 4194304
