# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/5_imagenet_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 75
#    Training the subspace: 1 / 2, 75 -> 150
# layer: 0,  residual average norm : 0.18448007106781006 max norm: 0.8602324724197388 min norm: 0.026512084528803825
# layer: 0,  residual average norm : 0.18448007106781006 max norm: 0.8602324724197388 min norm: 0.026512084528803825
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0026, 0.013, 0, 1
2, 0, 0.0094, 0.0235, 0, 2
4, 0, 0.013, 0.01625, 0, 4
8, 0, 0.0182, 0.011375, 0, 8
16, 0, 0.028200000000000003, 0.008812500000000001, 0, 16
32, 0, 0.0482, 0.00753125, 0, 32
64, 0, 0.0796, 0.00621875, 0, 64
128, 0, 0.1414, 0.0055234375, 0, 128
256, 0, 0.2194, 0.00428515625, 0, 256
512, 0, 0.3338, 0.003259765625, 0, 512
1024, 0, 0.4622, 0.0022568359375, 0, 1024
2048, 0, 0.598, 0.0014599609374999999, 0, 2048
4096, 0, 0.7121999999999999, 0.000869384765625, 0, 4096
8192, 0, 0.815, 0.0004974365234374999, 0, 8192
16384, 0, 0.8876000000000001, 0.00027087402343750004, 0, 16384
32768, 0, 0.9336000000000001, 0.0001424560546875, 0, 32768
65536, 0, 0.9608, 7.330322265625e-05, 0, 65536
131072, 0, 0.979, 3.734588623046875e-05, 0, 131072
262144, 0, 0.979, 1.8672943115234373e-05, 0, 262144
524288, 0, 0.979, 9.336471557617187e-06, 0, 524288
1048576, 0, 0.979, 4.668235778808593e-06, 0, 1048576
2097152, 0, 0.979, 2.3341178894042967e-06, 0, 2097152
4194304, 0, 0.979, 1.1670589447021483e-06, 0, 4194304
