# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/5_imagenet_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.20509201288223267 max norm: 0.8650335669517517 min norm: 0.028300635516643524
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.1793849766254425 max norm: 0.7998328804969788 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0046, 0.023, 0, 1
2, 0, 0.0094, 0.0235, 0, 2
4, 0, 0.018200000000000004, 0.022750000000000006, 0, 4
8, 0, 0.032600000000000004, 0.020375000000000004, 0, 8
16, 0, 0.062200000000000005, 0.019437500000000003, 0, 16
32, 0, 0.1042, 0.01628125, 0, 32
64, 0, 0.16399999999999998, 0.012812499999999998, 0, 64
128, 0, 0.2558, 0.009992187500000001, 0, 128
256, 0, 0.36939999999999995, 0.007214843749999999, 0, 256
512, 0, 0.48760000000000003, 0.00476171875, 0, 512
1024, 0, 0.6056, 0.00295703125, 0, 1024
2048, 0, 0.7125999999999999, 0.0017397460937499999, 0, 2048
4096, 0, 0.8064000000000001, 0.0009843750000000002, 0, 4096
8192, 0, 0.8692, 0.000530517578125, 0, 8192
16384, 0, 0.9163999999999999, 0.00027966308593749994, 0, 16384
32768, 0, 0.9448000000000001, 0.0001441650390625, 0, 32768
65536, 0, 0.9682000000000001, 7.38677978515625e-05, 0, 65536
131072, 0, 0.9812, 3.74298095703125e-05, 0, 131072
262144, 0, 0.9812, 1.871490478515625e-05, 0, 262144
524288, 0, 0.9812, 9.357452392578124e-06, 0, 524288
1048576, 0, 0.9812, 4.678726196289062e-06, 0, 1048576
2097152, 0, 0.9812, 2.339363098144531e-06, 0, 2097152
4194304, 0, 0.9812, 1.1696815490722656e-06, 0, 4194304
