# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/5_imagenet_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 38
#    Training the subspace: 1 / 4, 38 -> 76
#    Training the subspace: 2 / 4, 76 -> 113
#    Training the subspace: 3 / 4, 113 -> 150
# layer: 0,  residual average norm : 0.15895305573940277 max norm: 0.797283411026001 min norm: 0.02560071088373661
# layer: 0,  residual average norm : 0.15895305573940277 max norm: 0.797283411026001 min norm: 0.025600705295801163
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0128, 0.064, 0, 1
2, 0, 0.022, 0.05499999999999999, 0, 2
4, 0, 0.0342, 0.04275, 0, 4
8, 0, 0.05600000000000001, 0.035, 0, 8
16, 0, 0.088, 0.027499999999999997, 0, 16
32, 0, 0.133, 0.02078125, 0, 32
64, 0, 0.19179999999999997, 0.014984374999999998, 0, 64
128, 0, 0.2822, 0.0110234375, 0, 128
256, 0, 0.3898, 0.007613281249999999, 0, 256
512, 0, 0.5156000000000001, 0.005035156250000001, 0, 512
1024, 0, 0.6344, 0.0030976562499999997, 0, 1024
2048, 0, 0.7432000000000001, 0.001814453125, 0, 2048
4096, 0, 0.8418000000000001, 0.0010275878906250001, 0, 4096
8192, 0, 0.9105999999999999, 0.0005557861328124999, 0, 8192
16384, 0, 0.9534000000000001, 0.00029095458984375, 0, 16384
32768, 0, 0.9724, 0.00014837646484375, 0, 32768
65536, 0, 0.9850000000000001, 7.514953613281251e-05, 0, 65536
131072, 0, 0.9932000000000001, 3.78875732421875e-05, 0, 131072
262144, 0, 0.9932000000000001, 1.894378662109375e-05, 0, 262144
524288, 0, 0.9932000000000001, 9.471893310546875e-06, 0, 524288
1048576, 0, 0.9932000000000001, 4.735946655273438e-06, 0, 1048576
2097152, 0, 0.9932000000000001, 2.367973327636719e-06, 0, 2097152
4194304, 0, 0.9932000000000001, 1.1839866638183594e-06, 0, 4194304
