# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f2b16b40a20>, <aq.AQ object at 0x7f2b00e50da0>]
#    Training the XPQ subspace: 0 / 2, 0 -> 75
#    Training the XPQ subspace: 1 / 2, 75 -> 150
# compress items
# Mean AQ quantization error: 0.007564
# Mean AQ quantization error: 0.002422
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01906, 0.9530000000000001, 0, 1
2, 0, 0.03772, 0.943, 0, 2
4, 0, 0.07336000000000001, 0.9170000000000001, 0, 4
8, 0, 0.13821999999999998, 0.8638749999999998, 0, 8
16, 0, 0.25085999999999997, 0.7839375, 0, 16
32, 0, 0.41731999999999997, 0.6520625, 0, 32
64, 0, 0.6119, 0.478046875, 0, 64
128, 0, 0.7755, 0.3029296875, 0, 128
256, 0, 0.88646, 0.17313671875, 0, 256
512, 0, 0.94754, 0.092533203125, 0, 512
1024, 0, 0.9782, 0.047763671875, 0, 1024
2048, 0, 0.99134, 0.02420263671875, 0, 2048
4096, 0, 0.99634, 0.012162353515625, 0, 4096
8192, 0, 0.9986400000000001, 0.00609521484375, 0, 8192
16384, 0, 0.99938, 0.00304986572265625, 0, 16384
32768, 0, 0.9997, 0.001525421142578125, 0, 32768
65536, 0, 0.9998999999999999, 0.0007628631591796875, 0, 65536
131072, 0, 0.99996, 0.0003814544677734375, 0, 131072
262144, 0, 0.9999800000000001, 0.00019073104858398438, 0, 262144
524288, 0, 1.0, 9.5367431640625e-05, 0, 524288
1048576, 0, 1.0, 4.76837158203125e-05, 0, 1048576
2097152, 0, 1.0, 2.384185791015625e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
