# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# AQ, M: 2, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.036305
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00128, 0.064, 0, 1
2, 0, 0.0027400000000000002, 0.0685, 0, 2
4, 0, 0.0057399999999999994, 0.07175, 0, 4
8, 0, 0.011819999999999999, 0.073875, 0, 8
16, 0, 0.023540000000000002, 0.0735625, 0, 16
32, 0, 0.04662, 0.07284375, 0, 32
64, 0, 0.0908, 0.0709375, 0, 64
128, 0, 0.16106, 0.0629140625, 0, 128
256, 0, 0.2652, 0.051796875, 0, 256
512, 0, 0.39762000000000003, 0.038830078125, 0, 512
1024, 0, 0.54388, 0.026556640625000003, 0, 1024
2048, 0, 0.6826000000000001, 0.0166650390625, 0, 2048
4096, 0, 0.7904800000000001, 0.0096494140625, 0, 4096
8192, 0, 0.86734, 0.0052938232421875, 0, 8192
16384, 0, 0.91786, 0.00280108642578125, 0, 16384
32768, 0, 0.95096, 0.0014510498046875, 0, 32768
65536, 0, 0.9718800000000001, 0.000741485595703125, 0, 65536
131072, 0, 0.98452, 0.0003755645751953125, 0, 131072
262144, 0, 0.99334, 0.00018946456909179688, 0, 262144
524288, 0, 0.99708, 9.508895874023437e-05, 0, 524288
1048576, 0, 0.9990000000000001, 4.763603210449219e-05, 0, 1048576
2097152, 0, 0.9998999999999999, 2.3839473724365233e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
