# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6848716139793396 max norm: 1.0331034660339355 min norm: 0.1379607617855072
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0050999999999999995, 0.102, 0, 1
2, 0, 0.01135, 0.1135, 0, 2
4, 0, 0.02135, 0.10675000000000001, 0, 4
8, 0, 0.04135, 0.103375, 0, 8
16, 0, 0.0707, 0.088375, 0, 16
32, 0, 0.1157, 0.0723125, 0, 32
64, 0, 0.1865, 0.05828125, 0, 64
128, 0, 0.28454999999999997, 0.04446093749999999, 0, 128
256, 0, 0.3952, 0.030875, 0, 256
512, 0, 0.5203, 0.020324218749999998, 0, 512
1024, 0, 0.64115, 0.0125224609375, 0, 1024
2048, 0, 0.74195, 0.00724560546875, 0, 2048
4096, 0, 0.8313499999999999, 0.004059326171875, 0, 4096
8192, 0, 0.88805, 0.0021680908203125, 0, 8192
16384, 0, 0.9295, 0.0011346435546875, 0, 16384
32768, 0, 0.9547000000000001, 0.00058270263671875, 0, 32768
65536, 0, 0.9698, 0.00029595947265625, 0, 65536
131072, 0, 0.9795999999999999, 0.00014947509765625, 0, 131072
262144, 0, 0.9864499999999999, 7.526016235351562e-05, 0, 262144
524288, 0, 0.99175, 3.783226013183594e-05, 0, 524288
1048576, 0, 0.99685, 1.9013404846191407e-05, 0, 1048576
2097152, 0, 0.9996499999999999, 9.533405303955077e-06, 0, 2097152
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373
