# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.684853732585907 max norm: 1.0483275651931763 min norm: 0.11322341859340668
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00498, 0.249, 0, 1
2, 0, 0.0086, 0.215, 0, 2
4, 0, 0.01508, 0.1885, 0, 4
8, 0, 0.02778, 0.173625, 0, 8
16, 0, 0.04938, 0.1543125, 0, 16
32, 0, 0.0855, 0.13359375, 0, 32
64, 0, 0.14386, 0.112390625, 0, 64
128, 0, 0.23486, 0.0917421875, 0, 128
256, 0, 0.35052, 0.0684609375, 0, 256
512, 0, 0.47566, 0.046451171875, 0, 512
1024, 0, 0.6122, 0.029892578125, 0, 1024
2048, 0, 0.72954, 0.01781103515625, 0, 2048
4096, 0, 0.81604, 0.00996142578125, 0, 4096
8192, 0, 0.8824599999999999, 0.0053861083984375, 0, 8192
16384, 0, 0.9267400000000001, 0.00282818603515625, 0, 16384
32768, 0, 0.95544, 0.0014578857421875, 0, 32768
65536, 0, 0.97332, 0.000742584228515625, 0, 65536
131072, 0, 0.98298, 0.00037497711181640626, 0, 131072
262144, 0, 0.99036, 0.00018889617919921875, 0, 262144
524288, 0, 0.995, 9.489059448242188e-05, 0, 524288
1048576, 0, 0.998, 4.7588348388671874e-05, 0, 1048576
2097152, 0, 0.9996200000000001, 2.383279800415039e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
