# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 75
#    Training the subspace: 1 / 2, 75 -> 150
# layer: 0,  residual average norm : 0.1924457848072052 max norm: 0.8759153485298157 min norm: 0.030633363872766495
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00158, 0.079, 0, 1
2, 0, 0.0035199999999999997, 0.088, 0, 2
4, 0, 0.006999999999999999, 0.0875, 0, 4
8, 0, 0.013500000000000002, 0.084375, 0, 8
16, 0, 0.02538, 0.0793125, 0, 16
32, 0, 0.04444, 0.0694375, 0, 32
64, 0, 0.0728, 0.056875, 0, 64
128, 0, 0.11843999999999999, 0.046265625, 0, 128
256, 0, 0.18847999999999998, 0.0368125, 0, 256
512, 0, 0.27372, 0.026730468750000003, 0, 512
1024, 0, 0.38358, 0.0187294921875, 0, 1024
2048, 0, 0.5149199999999999, 0.012571289062499998, 0, 2048
4096, 0, 0.65298, 0.007970947265625, 0, 4096
8192, 0, 0.7730800000000001, 0.004718505859375, 0, 8192
16384, 0, 0.85906, 0.00262164306640625, 0, 16384
32768, 0, 0.9191800000000001, 0.001402557373046875, 0, 32768
65536, 0, 0.95418, 0.0007279815673828125, 0, 65536
131072, 0, 0.9753000000000001, 0.00037204742431640625, 0, 131072
262144, 0, 0.98762, 0.00018837356567382813, 0, 262144
524288, 0, 0.99482, 9.487342834472656e-05, 0, 524288
1048576, 0, 0.9979399999999999, 4.7585487365722655e-05, 0, 1048576
2097152, 0, 0.9997, 2.3834705352783203e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
