# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 38
#    Training the subspace: 1 / 4, 38 -> 76
#    Training the subspace: 2 / 4, 76 -> 113
#    Training the subspace: 3 / 4, 113 -> 150
# layer: 0,  residual average norm : 0.5314551591873169 max norm: 0.8814486861228943 min norm: 0.10002569109201431
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00994, 0.49699999999999994, 0, 1
2, 0, 0.019379999999999998, 0.48449999999999993, 0, 2
4, 0, 0.0369, 0.46125000000000005, 0, 4
8, 0, 0.06848, 0.428, 0, 8
16, 0, 0.12394, 0.3873125, 0, 16
32, 0, 0.21258, 0.33215625, 0, 32
64, 0, 0.3418, 0.26703125, 0, 64
128, 0, 0.50216, 0.19615625000000003, 0, 128
256, 0, 0.6661199999999999, 0.1301015625, 0, 256
512, 0, 0.8040999999999999, 0.078525390625, 0, 512
1024, 0, 0.89862, 0.0438779296875, 0, 1024
2048, 0, 0.9526600000000001, 0.02325830078125, 0, 2048
4096, 0, 0.97926, 0.011953857421875, 0, 4096
8192, 0, 0.9909600000000001, 0.00604833984375, 0, 8192
16384, 0, 0.99586, 0.00303912353515625, 0, 16384
32768, 0, 0.99774, 0.001522430419921875, 0, 32768
65536, 0, 0.99894, 0.0007621307373046875, 0, 65536
131072, 0, 0.99956, 0.0003813018798828125, 0, 131072
262144, 0, 0.99982, 0.00019070053100585937, 0, 262144
524288, 0, 0.99992, 9.535980224609375e-05, 0, 524288
1048576, 0, 0.99992, 4.767990112304688e-05, 0, 1048576
2097152, 0, 1.0, 2.384185791015625e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
