# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 38
#    Training the subspace: 1 / 4, 38 -> 76
#    Training the subspace: 2 / 4, 76 -> 113
#    Training the subspace: 3 / 4, 113 -> 150
# layer: 0,  residual average norm : 0.17429228127002716 max norm: 0.8122851848602295 min norm: 0.0283976923674345
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00368, 0.184, 0, 1
2, 0, 0.00666, 0.1665, 0, 2
4, 0, 0.0124, 0.155, 0, 4
8, 0, 0.0226, 0.14125, 0, 8
16, 0, 0.04032, 0.126, 0, 16
32, 0, 0.06614, 0.10334375000000001, 0, 32
64, 0, 0.1082, 0.08453125, 0, 64
128, 0, 0.16792, 0.06559375, 0, 128
256, 0, 0.25042000000000003, 0.04891015625, 0, 256
512, 0, 0.36113999999999996, 0.035267578125, 0, 512
1024, 0, 0.49738, 0.0242861328125, 0, 1024
2048, 0, 0.6415000000000001, 0.01566162109375, 0, 2048
4096, 0, 0.7669199999999999, 0.00936181640625, 0, 4096
8192, 0, 0.85698, 0.0052305908203125, 0, 8192
16384, 0, 0.91636, 0.0027965087890625, 0, 16384
32768, 0, 0.9526399999999999, 0.00145361328125, 0, 32768
65536, 0, 0.9727, 0.0007421112060546875, 0, 65536
131072, 0, 0.98418, 0.0003754348754882813, 0, 131072
262144, 0, 0.99188, 0.00018918609619140625, 0, 262144
524288, 0, 0.99646, 9.502983093261719e-05, 0, 524288
1048576, 0, 0.9990000000000001, 4.763603210449219e-05, 0, 1048576
2097152, 0, 0.99996, 2.3840904235839843e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
