# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f8c5b65e978>, <aq.AQ object at 0x7f8c5b65ea20>]
#    Training the XPQ subspace: 0 / 2, 0 -> 75
#    Training the XPQ subspace: 1 / 2, 75 -> 150
# compress items
# Mean AQ quantization error: 0.014436
# Mean AQ quantization error: 0.004547
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01462, 0.731, 0, 1
2, 0, 0.02752, 0.688, 0, 2
4, 0, 0.052919999999999995, 0.6615, 0, 4
8, 0, 0.09676, 0.60475, 0, 8
16, 0, 0.16672, 0.521, 0, 16
32, 0, 0.27116, 0.4236875, 0, 32
64, 0, 0.40893999999999997, 0.319484375, 0, 64
128, 0, 0.56536, 0.22084374999999998, 0, 128
256, 0, 0.7071999999999999, 0.138125, 0, 256
512, 0, 0.82054, 0.080130859375, 0, 512
1024, 0, 0.8987999999999999, 0.04388671875, 0, 1024
2048, 0, 0.9489, 0.02316650390625, 0, 2048
4096, 0, 0.9766400000000001, 0.011921875, 0, 4096
8192, 0, 0.98934, 0.0060384521484375, 0, 8192
16384, 0, 0.99516, 0.0030369873046875, 0, 16384
32768, 0, 0.9978, 0.00152252197265625, 0, 32768
65536, 0, 0.99886, 0.0007620697021484375, 0, 65536
131072, 0, 0.99952, 0.00038128662109375, 0, 131072
262144, 0, 0.99968, 0.000190673828125, 0, 262144
524288, 0, 0.99984, 9.53521728515625e-05, 0, 524288
1048576, 0, 0.99992, 4.767990112304688e-05, 0, 1048576
2097152, 0, 0.9999800000000001, 2.3841381072998048e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
