# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: AQ, M: 7, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.177185
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.016479999999999998, 0.824, 0, 1
2, 0, 0.03242, 0.8104999999999999, 0, 2
4, 0, 0.06269999999999999, 0.78375, 0, 4
8, 0, 0.11747999999999999, 0.73425, 0, 8
16, 0, 0.21306, 0.6658125, 0, 16
32, 0, 0.36442, 0.56940625, 0, 32
64, 0, 0.55846, 0.436296875, 0, 64
128, 0, 0.74548, 0.291203125, 0, 128
256, 0, 0.8809600000000001, 0.1720625, 0, 256
512, 0, 0.95402, 0.093166015625, 0, 512
1024, 0, 0.98494, 0.0480927734375, 0, 1024
2048, 0, 0.99542, 0.02430224609375, 0, 2048
4096, 0, 0.99854, 0.012189208984375, 0, 4096
8192, 0, 0.9995, 0.0061004638671875, 0, 8192
16384, 0, 0.9998, 0.0030511474609375, 0, 16384
32768, 0, 0.9998999999999999, 0.001525726318359375, 0, 32768
65536, 0, 0.99994, 0.0007628936767578125, 0, 65536
131072, 0, 0.9999800000000001, 0.00038146209716796877, 0, 131072
262144, 0, 0.9999800000000001, 0.00019073104858398438, 0, 262144
524288, 0, 0.9999800000000001, 9.536552429199219e-05, 0, 524288
1048576, 0, 1.0, 4.76837158203125e-05, 0, 1048576
2097152, 0, 1.0, 2.384185791015625e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
