# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 22
#    Training the subspace: 1 / 7, 22 -> 44
#    Training the subspace: 2 / 7, 44 -> 66
#    Training the subspace: 3 / 7, 66 -> 87
#    Training the subspace: 4 / 7, 87 -> 108
#    Training the subspace: 5 / 7, 108 -> 129
#    Training the subspace: 6 / 7, 129 -> 150
# layer: 0,  residual average norm : 0.5132912993431091 max norm: 0.8574045896530151 min norm: 0.08643153309822083
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01142, 0.571, 0, 1
2, 0, 0.0225, 0.5625, 0, 2
4, 0, 0.04382, 0.54775, 0, 4
8, 0, 0.08317999999999999, 0.519875, 0, 8
16, 0, 0.15062, 0.47068750000000004, 0, 16
32, 0, 0.2577, 0.40265625, 0, 32
64, 0, 0.40636000000000005, 0.31746875, 0, 64
128, 0, 0.58146, 0.2271328125, 0, 128
256, 0, 0.7378199999999999, 0.14410546875, 0, 256
512, 0, 0.85756, 0.08374609375, 0, 512
1024, 0, 0.92974, 0.0453974609375, 0, 1024
2048, 0, 0.96706, 0.02360986328125, 0, 2048
4096, 0, 0.9854, 0.01202880859375, 0, 4096
8192, 0, 0.99346, 0.0060635986328125, 0, 8192
16384, 0, 0.9968, 0.0030419921875, 0, 16384
32768, 0, 0.99844, 0.00152349853515625, 0, 32768
65536, 0, 0.99934, 0.0007624359130859375, 0, 65536
131072, 0, 0.9997199999999999, 0.0003813629150390625, 0, 131072
262144, 0, 0.9998999999999999, 0.00019071578979492187, 0, 262144
524288, 0, 0.99994, 9.536170959472656e-05, 0, 524288
1048576, 0, 0.99996, 4.7681808471679685e-05, 0, 1048576
2097152, 0, 1.0, 2.384185791015625e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
