# load the base data ../data/imagenet/imagenet_base.fvecs, 
# load the queries ../data/imagenet/imagenet_query.fvecs, 
# load the ground truth ../data/imagenet/50_imagenet_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.6843136548995972 max norm: 1.0400437116622925 min norm: 0.13191361725330353
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.6002913117408752 max norm: 0.9870588183403015 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 2,  residual average norm : 0.5481430292129517 max norm: 0.9561288356781006 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 3,  residual average norm : 0.5101339817047119 max norm: 0.9098238945007324 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 4,  residual average norm : 0.4790351688861847 max norm: 0.8674002885818481 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 5,  residual average norm : 0.45343542098999023 max norm: 0.8353294134140015 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 6,  residual average norm : 0.43116191029548645 max norm: 0.8188182711601257 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01516, 0.758, 0, 1
2, 0, 0.02964, 0.741, 0, 2
4, 0, 0.05656, 0.707, 0, 4
8, 0, 0.1057, 0.660625, 0, 8
16, 0, 0.19274000000000002, 0.6023125, 0, 16
32, 0, 0.33082, 0.51690625, 0, 32
64, 0, 0.52628, 0.41115625, 0, 64
128, 0, 0.7232, 0.2825, 0, 128
256, 0, 0.86492, 0.1689296875, 0, 256
512, 0, 0.94356, 0.09214453125, 0, 512
1024, 0, 0.97968, 0.0478359375, 0, 1024
2048, 0, 0.99272, 0.024236328125, 0, 2048
4096, 0, 0.99694, 0.012169677734375, 0, 4096
8192, 0, 0.9987999999999999, 0.00609619140625, 0, 8192
16384, 0, 0.9994799999999999, 0.0030501708984375, 0, 16384
32768, 0, 0.9997199999999999, 0.00152545166015625, 0, 32768
65536, 0, 0.9998600000000001, 0.0007628326416015625, 0, 65536
131072, 0, 0.99994, 0.00038144683837890625, 0, 131072
262144, 0, 0.99996, 0.00019072723388671874, 0, 262144
524288, 0, 0.9999800000000001, 9.536552429199219e-05, 0, 524288
1048576, 0, 0.9999800000000001, 4.7682762145996096e-05, 0, 1048576
2097152, 0, 1.0, 2.384185791015625e-05, 0, 2097152
4194304, 0, 1.0, 2.1364115890928497e-05, 0, 2340373
