# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/1_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 15, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 15, 0 -> 10
#    Training the subspace: 1 / 15, 10 -> 20
#    Training the subspace: 2 / 15, 20 -> 30
#    Training the subspace: 3 / 15, 30 -> 40
#    Training the subspace: 4 / 15, 40 -> 50
#    Training the subspace: 5 / 15, 50 -> 60
#    Training the subspace: 6 / 15, 60 -> 70
#    Training the subspace: 7 / 15, 70 -> 80
#    Training the subspace: 8 / 15, 80 -> 90
#    Training the subspace: 9 / 15, 90 -> 100
#    Training the subspace: 10 / 15, 100 -> 110
#    Training the subspace: 11 / 15, 110 -> 120
#    Training the subspace: 12 / 15, 120 -> 130
#    Training the subspace: 13 / 15, 130 -> 140
#    Training the subspace: 14 / 15, 140 -> 150
# layer: 0,  residual average norm : 0.2026510089635849 max norm: 0.6350039839744568 min norm: 0.05418459698557854
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.613, 0.613, 0, 1
2, 0, 0.836, 0.418, 0, 2
4, 0, 0.98, 0.245, 0, 4
8, 0, 0.999, 0.124875, 0, 8
16, 0, 1.0, 0.0625, 0, 16
32, 0, 1.0, 0.03125, 0, 32
64, 0, 1.0, 0.015625, 0, 64
128, 0, 1.0, 0.0078125, 0, 128
256, 0, 1.0, 0.00390625, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 9.365926758452749e-05, 0, 10677
