# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/1_movielens_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 16, 0 -> 10
#    Training the subspace: 1 / 16, 10 -> 20
#    Training the subspace: 2 / 16, 20 -> 30
#    Training the subspace: 3 / 16, 30 -> 40
#    Training the subspace: 4 / 16, 40 -> 50
#    Training the subspace: 5 / 16, 50 -> 60
#    Training the subspace: 6 / 16, 60 -> 69
#    Training the subspace: 7 / 16, 69 -> 78
#    Training the subspace: 8 / 16, 78 -> 87
#    Training the subspace: 9 / 16, 87 -> 96
#    Training the subspace: 10 / 16, 96 -> 105
#    Training the subspace: 11 / 16, 105 -> 114
#    Training the subspace: 12 / 16, 114 -> 123
#    Training the subspace: 13 / 16, 123 -> 132
#    Training the subspace: 14 / 16, 132 -> 141
#    Training the subspace: 15 / 16, 141 -> 150
# layer: 0,  residual average norm : 0.10964059084653854 max norm: 0.5930863618850708 min norm: 0.04444563016295433
# layer: 0,  residual average norm : 0.10964059084653854 max norm: 0.5930864214897156 min norm: 0.044445671141147614
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.622, 0.622, 0, 1
2, 0, 0.807, 0.4035, 0, 2
4, 0, 0.939, 0.23475, 0, 4
8, 0, 0.978, 0.12225, 0, 8
16, 0, 0.995, 0.0621875, 0, 16
32, 0, 0.999, 0.03121875, 0, 32
64, 0, 0.999, 0.015609375, 0, 64
128, 0, 1.0, 0.0078125, 0, 128
256, 0, 1.0, 0.00390625, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 9.365926758452749e-05, 0, 10677
