# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/1_movielens_product_groundtruth.ivecs
# ranking metric product
# AQ, M: 2, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.146987
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.333, 0.333, 0, 1
2, 0, 0.406, 0.203, 0, 2
4, 0, 0.489, 0.12225, 0, 4
8, 0, 0.586, 0.07325, 0, 8
16, 0, 0.686, 0.042875, 0, 16
32, 0, 0.768, 0.024, 0, 32
64, 0, 0.817, 0.012765625, 0, 64
128, 0, 0.855, 0.0066796875, 0, 128
256, 0, 0.899, 0.00351171875, 0, 256
512, 0, 0.938, 0.00183203125, 0, 512
1024, 0, 0.97, 0.000947265625, 0, 1024
2048, 0, 0.988, 0.000482421875, 0, 2048
4096, 0, 0.996, 0.0002431640625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 9.365926758452749e-05, 0, 10677
