# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/1_movielens_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 75
#    Training the subspace: 1 / 2, 75 -> 150
# layer: 0,  residual average norm : 0.37891820073127747 max norm: 1.5056302547454834 min norm: 0.104281485080719
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.266, 0.266, 0, 1
2, 0, 0.323, 0.1615, 0, 2
4, 0, 0.381, 0.09525, 0, 4
8, 0, 0.458, 0.05725, 0, 8
16, 0, 0.574, 0.035875, 0, 16
32, 0, 0.709, 0.02215625, 0, 32
64, 0, 0.809, 0.012640625, 0, 64
128, 0, 0.905, 0.0070703125, 0, 128
256, 0, 0.962, 0.0037578125, 0, 256
512, 0, 0.987, 0.001927734375, 0, 512
1024, 0, 0.999, 0.0009755859375, 0, 1024
2048, 0, 0.999, 0.00048779296875, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 9.365926758452749e-05, 0, 10677
