# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/1_movielens_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 38
#    Training the subspace: 1 / 4, 38 -> 76
#    Training the subspace: 2 / 4, 76 -> 113
#    Training the subspace: 3 / 4, 113 -> 150
# layer: 0,  residual average norm : 0.45875146985054016 max norm: 1.6244275569915771 min norm: 0.1518319696187973
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.041, 0.041, 0, 1
2, 0, 0.067, 0.0335, 0, 2
4, 0, 0.117, 0.02925, 0, 4
8, 0, 0.191, 0.023875, 0, 8
16, 0, 0.314, 0.019625, 0, 16
32, 0, 0.439, 0.01371875, 0, 32
64, 0, 0.6, 0.009375, 0, 64
128, 0, 0.746, 0.005828125, 0, 128
256, 0, 0.862, 0.0033671875, 0, 256
512, 0, 0.913, 0.001783203125, 0, 512
1024, 0, 0.942, 0.000919921875, 0, 1024
2048, 0, 0.96, 0.00046875, 0, 2048
4096, 0, 0.989, 0.000241455078125, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 9.365926758452749e-05, 0, 10677
