# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/1_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 22
#    Training the subspace: 1 / 7, 22 -> 44
#    Training the subspace: 2 / 7, 44 -> 66
#    Training the subspace: 3 / 7, 66 -> 87
#    Training the subspace: 4 / 7, 87 -> 108
#    Training the subspace: 5 / 7, 108 -> 129
#    Training the subspace: 6 / 7, 129 -> 150
# layer: 0,  residual average norm : 0.2354167252779007 max norm: 0.7546052932739258 min norm: 0.0602414533495903
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.675, 0.675, 0, 1
2, 0, 0.796, 0.398, 0, 2
4, 0, 0.939, 0.23475, 0, 4
8, 0, 0.99, 0.12375, 0, 8
16, 0, 0.999, 0.0624375, 0, 16
32, 0, 1.0, 0.03125, 0, 32
64, 0, 1.0, 0.015625, 0, 64
128, 0, 1.0, 0.0078125, 0, 128
256, 0, 1.0, 0.00390625, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 9.365926758452749e-05, 0, 10677
