# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/10_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.2592625319957733 max norm: 0.8298672437667847 min norm: 0.0
# layer: 0,  residual average norm : 0.2592625319957733 max norm: 0.8298672437667847 min norm: 4.0402497347713506e-07
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0716, 0.716, 0, 1
2, 0, 0.1303, 0.6515, 0, 2
4, 0, 0.24359999999999998, 0.609, 0, 4
8, 0, 0.4103, 0.512875, 0, 8
16, 0, 0.6314, 0.394625, 0, 16
32, 0, 0.8476000000000001, 0.264875, 0, 32
64, 0, 0.9454, 0.14771875, 0, 64
128, 0, 0.9785999999999999, 0.076453125, 0, 128
256, 0, 0.9926, 0.0387734375, 0, 256
512, 0, 0.9977, 0.019486328125, 0, 512
1024, 0, 0.9996, 0.00976171875, 0, 1024
2048, 0, 1.0, 0.0048828125, 0, 2048
4096, 0, 1.0, 0.00244140625, 0, 4096
8192, 0, 1.0, 0.001220703125, 0, 8192
16384, 0, 1.0, 0.0009365926758452749, 0, 10677
