# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/10_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 50
#    Training the subspace: 1 / 3, 50 -> 100
#    Training the subspace: 2 / 3, 100 -> 150
# layer: 0,  residual average norm : 0.1651589423418045 max norm: 0.5979935526847839 min norm: 0.04522164538502693
# layer: 0,  residual average norm : 0.1651589423418045 max norm: 0.5979935526847839 min norm: 0.04522170126438141
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.09290000000000001, 0.929, 0, 1
2, 0, 0.1822, 0.911, 0, 2
4, 0, 0.3457, 0.86425, 0, 4
8, 0, 0.6191, 0.773875, 0, 8
16, 0, 0.9048999999999999, 0.5655625, 0, 16
32, 0, 0.9875, 0.30859375, 0, 32
64, 0, 0.9982, 0.15596875, 0, 64
128, 0, 0.9997999999999999, 0.078109375, 0, 128
256, 0, 0.9999, 0.03905859375, 0, 256
512, 0, 1.0, 0.01953125, 0, 512
1024, 0, 1.0, 0.009765625, 0, 1024
2048, 0, 1.0, 0.0048828125, 0, 2048
4096, 0, 1.0, 0.00244140625, 0, 4096
8192, 0, 1.0, 0.001220703125, 0, 8192
16384, 0, 1.0, 0.0009365926758452749, 0, 10677
