# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/20_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: AQ, M: 1, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.082161
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.03155, 0.631, 0, 1
2, 0, 0.059750000000000004, 0.5975, 0, 2
4, 0, 0.11555, 0.57775, 0, 4
8, 0, 0.21610000000000001, 0.54025, 0, 8
16, 0, 0.36819999999999997, 0.46024999999999994, 0, 16
32, 0, 0.59695, 0.37309375, 0, 32
64, 0, 0.8285, 0.25890625, 0, 64
128, 0, 0.9473499999999999, 0.1480234375, 0, 128
256, 0, 0.98465, 0.07692578125, 0, 256
512, 0, 0.9957, 0.03889453125, 0, 512
1024, 0, 0.999, 0.01951171875, 0, 1024
2048, 0, 0.9997999999999999, 0.009763671875, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.0018731853516905498, 0, 10677
