# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/20_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.259373277425766 max norm: 0.7688350677490234 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0303, 0.606, 0, 1
2, 0, 0.0653, 0.653, 0, 2
4, 0, 0.12505, 0.62525, 0, 4
8, 0, 0.2192, 0.548, 0, 8
16, 0, 0.36365, 0.4545625, 0, 16
32, 0, 0.6155999999999999, 0.3847499999999999, 0, 32
64, 0, 0.8631500000000001, 0.269734375, 0, 64
128, 0, 0.97095, 0.1517109375, 0, 128
256, 0, 0.9929500000000001, 0.07757421875, 0, 256
512, 0, 0.9984999999999999, 0.03900390625, 0, 512
1024, 0, 0.9997, 0.019525390625, 0, 1024
2048, 0, 0.9999499999999999, 0.00976513671875, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.0018731853516905498, 0, 10677
