# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/20_movielens_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 75
#    Training the subspace: 1 / 2, 75 -> 150
# layer: 0,  residual average norm : 0.47656962275505066 max norm: 1.6337616443634033 min norm: 0.12639953196048737
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.009049999999999999, 0.181, 0, 1
2, 0, 0.01635, 0.1635, 0, 2
4, 0, 0.0294, 0.147, 0, 4
8, 0, 0.054000000000000006, 0.135, 0, 8
16, 0, 0.10095000000000001, 0.1261875, 0, 16
32, 0, 0.16415, 0.10259375, 0, 32
64, 0, 0.24184999999999998, 0.075578125, 0, 64
128, 0, 0.33755, 0.0527421875, 0, 128
256, 0, 0.45519999999999994, 0.0355625, 0, 256
512, 0, 0.60235, 0.023529296875, 0, 512
1024, 0, 0.7566499999999999, 0.0147783203125, 0, 1024
2048, 0, 0.8891500000000001, 0.00868310546875, 0, 2048
4096, 0, 0.9692000000000001, 0.004732421875, 0, 4096
8192, 0, 0.9996, 0.0024404296875, 0, 8192
16384, 0, 1.0, 0.0018731853516905498, 0, 10677
