# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/20_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 50
#    Training the subspace: 1 / 3, 50 -> 100
#    Training the subspace: 2 / 3, 100 -> 150
# layer: 0,  residual average norm : 0.25135791301727295 max norm: 0.7270228862762451 min norm: 0.057377781718969345
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04255, 0.851, 0, 1
2, 0, 0.0842, 0.842, 0, 2
4, 0, 0.1565, 0.7825, 0, 4
8, 0, 0.28359999999999996, 0.7089999999999999, 0, 8
16, 0, 0.48464999999999997, 0.6058125, 0, 16
32, 0, 0.7727, 0.4829375, 0, 32
64, 0, 0.95835, 0.299484375, 0, 64
128, 0, 0.9962, 0.15565625, 0, 128
256, 0, 0.99935, 0.07807421875, 0, 256
512, 0, 0.99985, 0.039056640625, 0, 512
1024, 0, 1.0, 0.01953125, 0, 1024
2048, 0, 1.0, 0.009765625, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.0018731853516905498, 0, 10677
