# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/50_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 75
#    Training the subspace: 1 / 2, 75 -> 150
# layer: 0,  residual average norm : 0.20177391171455383 max norm: 0.7105114459991455 min norm: 0.058606091886758804
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0165, 0.8250000000000001, 0, 1
2, 0, 0.03206, 0.8015, 0, 2
4, 0, 0.06372, 0.7965, 0, 4
8, 0, 0.12528, 0.783, 0, 8
16, 0, 0.24624, 0.7695, 0, 16
32, 0, 0.461, 0.7203125, 0, 32
64, 0, 0.77012, 0.60165625, 0, 64
128, 0, 0.95396, 0.372640625, 0, 128
256, 0, 0.9930599999999999, 0.19395703125, 0, 256
512, 0, 0.99862, 0.097521484375, 0, 512
1024, 0, 0.9997199999999999, 0.048814453125, 0, 1024
2048, 0, 1.0, 0.0244140625, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.004682963379226374, 0, 10677
