# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/50_movielens_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 38
#    Training the subspace: 1 / 4, 38 -> 76
#    Training the subspace: 2 / 4, 76 -> 113
#    Training the subspace: 3 / 4, 113 -> 150
# layer: 0,  residual average norm : 0.14009761810302734 max norm: 0.5515555739402771 min norm: 0.03815397247672081
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01982, 0.991, 0, 1
2, 0, 0.03918, 0.9795, 0, 2
4, 0, 0.07644000000000001, 0.9555000000000001, 0, 4
8, 0, 0.14756, 0.92225, 0, 8
16, 0, 0.28526, 0.8914375, 0, 16
32, 0, 0.5454, 0.8521875, 0, 32
64, 0, 0.90158, 0.704359375, 0, 64
128, 0, 0.9942, 0.388359375, 0, 128
256, 0, 0.9991, 0.19513671875, 0, 256
512, 0, 0.99992, 0.0976484375, 0, 512
1024, 0, 0.9999800000000001, 0.0488271484375, 0, 1024
2048, 0, 0.9999800000000001, 0.02441357421875, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.004682963379226374, 0, 10677
