# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/50_movielens_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 0,  residual average norm : 0.48049354553222656 max norm: 1.641195297241211 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 1,  residual average norm : 0.3543616533279419 max norm: 1.3287813663482666 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 2,  residual average norm : 0.27499914169311523 max norm: 1.1437712907791138 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 150
# layer: 3,  residual average norm : 0.21920451521873474 max norm: 0.7764960527420044 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.02, 1.0, 0, 1
2, 0, 0.03996, 0.9990000000000001, 0, 2
4, 0, 0.0799, 0.99875, 0, 4
8, 0, 0.15868000000000002, 0.9917500000000001, 0, 8
16, 0, 0.30341999999999997, 0.9481874999999998, 0, 16
32, 0, 0.5218, 0.8153125000000001, 0, 32
64, 0, 0.74614, 0.582921875, 0, 64
128, 0, 0.89376, 0.349125, 0, 128
256, 0, 0.9573999999999999, 0.1869921875, 0, 256
512, 0, 0.98724, 0.09641015625, 0, 512
1024, 0, 0.99776, 0.04871875, 0, 1024
2048, 0, 0.9997400000000001, 0.02440771484375, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.004682963379226374, 0, 10677
