# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/50_movielens_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 19
#    Training the subspace: 1 / 8, 19 -> 38
#    Training the subspace: 2 / 8, 38 -> 57
#    Training the subspace: 3 / 8, 57 -> 76
#    Training the subspace: 4 / 8, 76 -> 95
#    Training the subspace: 5 / 8, 95 -> 114
#    Training the subspace: 6 / 8, 114 -> 132
#    Training the subspace: 7 / 8, 132 -> 150
# layer: 0,  residual average norm : 0.4315374493598938 max norm: 1.5943195819854736 min norm: 0.13573893904685974
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01742, 0.8710000000000001, 0, 1
2, 0, 0.0335, 0.8375, 0, 2
4, 0, 0.06202, 0.77525, 0, 4
8, 0, 0.11205999999999999, 0.700375, 0, 8
16, 0, 0.18992, 0.5935, 0, 16
32, 0, 0.3045, 0.47578125, 0, 32
64, 0, 0.45006, 0.351609375, 0, 64
128, 0, 0.59814, 0.2336484375, 0, 128
256, 0, 0.72762, 0.14211328125, 0, 256
512, 0, 0.8370399999999999, 0.0817421875, 0, 512
1024, 0, 0.91712, 0.04478125, 0, 1024
2048, 0, 0.97532, 0.0238115234375, 0, 2048
4096, 0, 0.9976999999999999, 0.012178955078125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.004682963379226374, 0, 10677
