# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 16, 0 -> 19
#    Training the subspace: 1 / 16, 19 -> 38
#    Training the subspace: 2 / 16, 38 -> 57
#    Training the subspace: 3 / 16, 57 -> 76
#    Training the subspace: 4 / 16, 76 -> 95
#    Training the subspace: 5 / 16, 95 -> 114
#    Training the subspace: 6 / 16, 114 -> 133
#    Training the subspace: 7 / 16, 133 -> 152
#    Training the subspace: 8 / 16, 152 -> 171
#    Training the subspace: 9 / 16, 171 -> 190
#    Training the subspace: 10 / 16, 190 -> 209
#    Training the subspace: 11 / 16, 209 -> 228
#    Training the subspace: 12 / 16, 228 -> 246
#    Training the subspace: 13 / 16, 246 -> 264
#    Training the subspace: 14 / 16, 264 -> 282
#    Training the subspace: 15 / 16, 282 -> 300
# layer: 0,  residual average norm : 0.1078956350684166 max norm: 0.5322425365447998 min norm: 0.05018233507871628
# layer: 0,  residual average norm : 0.1078956350684166 max norm: 0.5322425365447998 min norm: 0.050182245671749115
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.277, 0.277, 0, 1
2, 0, 0.409, 0.2045, 0, 2
4, 0, 0.57, 0.1425, 0, 4
8, 0, 0.722, 0.09025, 0, 8
16, 0, 0.876, 0.05475, 0, 16
32, 0, 0.947, 0.02959375, 0, 32
64, 0, 0.975, 0.015234375, 0, 64
128, 0, 0.981, 0.0076640625, 0, 128
256, 0, 0.993, 0.00387890625, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
