# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.22298601269721985 max norm: 0.6708513498306274 min norm: 0.0
# layer: 0,  residual average norm : 0.22298601269721985 max norm: 0.6708513498306274 min norm: 4.21079619172815e-07
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.207, 0.207, 0, 1
2, 0, 0.311, 0.1555, 0, 2
4, 0, 0.478, 0.1195, 0, 4
8, 0, 0.674, 0.08425, 0, 8
16, 0, 0.783, 0.0489375, 0, 16
32, 0, 0.877, 0.02740625, 0, 32
64, 0, 0.949, 0.014828125, 0, 64
128, 0, 0.988, 0.00771875, 0, 128
256, 0, 0.997, 0.00389453125, 0, 256
512, 0, 0.998, 0.00194921875, 0, 512
1024, 0, 0.998, 0.000974609375, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
