# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.4127624034881592 max norm: 1.2760446071624756 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.2917933762073517 max norm: 1.0379552841186523 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.018, 0.018, 0, 1
2, 0, 0.042, 0.021, 0, 2
4, 0, 0.122, 0.0305, 0, 4
8, 0, 0.281, 0.035125, 0, 8
16, 0, 0.495, 0.0309375, 0, 16
32, 0, 0.72, 0.0225, 0, 32
64, 0, 0.878, 0.01371875, 0, 64
128, 0, 0.93, 0.007265625, 0, 128
256, 0, 0.951, 0.00371484375, 0, 256
512, 0, 0.962, 0.00187890625, 0, 512
1024, 0, 0.975, 0.0009521484375, 0, 1024
2048, 0, 0.992, 0.000484375, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
